TimePeriod,GeoType,GeoID,GeoRank,Geography,age_adjusted_rate_per_100k,Number
2023,CD,101,6,Financial District (CD1),**,**
2023,CD,102,6,Greenwich Village and Soho (CD2),10.7,11
2023,CD,103,6,Lower East Side and Chinatown (CD3),33.4,61
2023,CD,104,6,Clinton and Chelsea (CD4),23.1,34
2023,CD,105,6,Midtown (CD5),41,19
2023,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),20.1,28
2023,CD,107,6,Upper West Side (CD7),15.7,34
2023,CD,108,6,Upper East Side (CD8),10.3,23
2023,CD,109,6,Morningside Heights and Hamilton Heights (CD9),43.4,50
2023,CD,110,6,Central Harlem (CD10),102.5,119
2023,CD,111,6,East Harlem (CD11),116,139
2023,CD,112,6,Washington Heights and Inwood (CD12),28.5,54
2023,CD,201,6,Mott Haven and Melrose (CD1),163.2,145
2023,CD,202,6,Hunts Point and Longwood (CD2),88.9,45
2023,CD,203,6,Morrisania and Crotona (CD3),139.1,115
2023,CD,204,6,Highbridge and Concourse (CD4),79.1,114
2023,CD,205,6,Fordham and University Heights (CD5),79.5,99
2023,CD,206,6,Belmont and East Tremont (CD6),137.7,106
2023,CD,207,6,Kingsbridge Heights and Bedford (CD7),63.5,89
2023,CD,208,6,Riverdale and Fieldston (CD8),30,31
2023,CD,209,6,Parkchester and Soundview (CD9),72.4,122
2023,CD,210,6,Throgs Neck and Co-op City (CD10),42.2,45
2023,CD,211,6,Morris Park and Bronxdale (CD11),69,73
2023,CD,212,6,Williamsbridge and Baychester (CD12),71.8,100
2023,CD,301,6,Greenpoint and Williamsburg (CD1),25.3,51
2023,CD,302,6,Fort Greene and Brooklyn Heights (CD2),30.6,41
2023,CD,303,6,Bedford Stuyvesant (CD3),67.3,99
2023,CD,304,6,Bushwick (CD4),52.9,59
2023,CD,305,6,East New York and Starrett City (CD5),70.3,115
2023,CD,306,6,Park Slope and Carroll Gardens (CD6),25.1,30
2023,CD,307,6,Sunset Park (CD7),19.9,26
2023,CD,308,6,Crown Heights and Prospect Heights (CD8),50.5,47
2023,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),59.8,57
2023,CD,310,6,Bay Ridge and Dyker Heights (CD10),19.6,29
2023,CD,311,6,Bensonhurst (CD11),11.6,24
2023,CD,312,6,Borough Park (CD12),8.4,15
2023,CD,313,6,Coney Island (CD13),46.1,44
2023,CD,314,6,Flatbush and Midwood (CD14),37.1,58
2023,CD,315,6,Sheepshead Bay (CD15),13.7,23
2023,CD,316,6,Brownsville (CD16),104.7,78
2023,CD,317,6,East Flatbush (CD17),61,81
2023,CD,318,6,Flatlands and Canarsie (CD18),32.3,56
2023,CD,401,6,Long Island City and Astoria (CD1),57.8,120
2023,CD,402,6,Woodside and Sunnyside (CD2),13,20
2023,CD,403,6,Jackson Heights (CD3),40.6,70
2023,CD,404,6,Elmhurst and Corona (CD4),57.4,104
2023,CD,405,6,Ridgewood and Maspeth (CD5),19.8,29
2023,CD,406,6,Rego Park and Forest Hills (CD6),15,15
2023,CD,407,6,Flushing and Whitestone (CD7),23.6,57
2023,CD,408,6,Hillcrest and Fresh Meadows (CD8),25,36
2023,CD,409,6,Kew Gardens and Woodhaven (CD9),26.3,37
2023,CD,410,6,South Ozone Park and Howard Beach (CD10),18.1,21
2023,CD,411,6,Bayside and Little Neck (CD11),12.8,13
2023,CD,412,6,Jamaica and Hollis (CD12),48.2,102
2023,CD,413,6,Queens Village (CD13),27.7,44
2023,CD,414,6,Rockaway and Broad Channel (CD14),60.1,65
2023,CD,501,6,St. George and Stapleton (CD1),47.6,89
2023,CD,502,6,South Beach and Willowbrook (CD2),31.5,42
2023,CD,503,6,Tottenville and Great Kills (CD3),16.6,27
2023,Borough,1,1,Bronx,85.8,"1,142"
2023,Borough,2,1,Brooklyn,38,980
2023,Borough,3,1,Manhattan,38.3,645
2023,Borough,4,1,Queens,35.7,778
2023,Borough,5,1,Staten Island,33.6,160
2023,Citywide,1,0,New York City,46.5,"3,866"
2022,CD,101,6,Financial District (CD1),**,**
2022,CD,102,6,Greenwich Village and Soho (CD2),12,12
2022,CD,103,6,Lower East Side and Chinatown (CD3),31.1,58
2022,CD,104,6,Clinton and Chelsea (CD4),26.6,46
2022,CD,105,6,Midtown (CD5),20.7,16
2022,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),26.7,43
2022,CD,107,6,Upper West Side (CD7),17.3,31
2022,CD,108,6,Upper East Side (CD8),16,33
2022,CD,109,6,Morningside Heights and Hamilton Heights (CD9),49.1,55
2022,CD,110,6,Central Harlem (CD10),109.8,131
2022,CD,111,6,East Harlem (CD11),116.2,137
2022,CD,112,6,Washington Heights and Inwood (CD12),32.7,62
2022,CD,201,6,Mott Haven and Melrose (CD1),197.9,178
2022,CD,202,6,Hunts Point and Longwood (CD2),120.2,63
2022,CD,203,6,Morrisania and Crotona (CD3),125.5,106
2022,CD,204,6,Highbridge and Concourse (CD4),78.5,115
2022,CD,205,6,Fordham and University Heights (CD5),91.6,117
2022,CD,206,6,Belmont and East Tremont (CD6),115.3,92
2022,CD,207,6,Kingsbridge Heights and Bedford (CD7),82.2,116
2022,CD,208,6,Riverdale and Fieldston (CD8),28.2,28
2022,CD,209,6,Parkchester and Soundview (CD9),75,130
2022,CD,210,6,Throgs Neck and Co-op City (CD10),25.5,27
2022,CD,211,6,Morris Park and Bronxdale (CD11),59.4,65
2022,CD,212,6,Williamsbridge and Baychester (CD12),77.5,112
2022,CD,301,6,Greenpoint and Williamsburg (CD1),34.4,72
2022,CD,302,6,Fort Greene and Brooklyn Heights (CD2),27.3,38
2022,CD,303,6,Bedford Stuyvesant (CD3),76.4,113
2022,CD,304,6,Bushwick (CD4),54.8,62
2022,CD,305,6,East New York and Starrett City (CD5),100.9,165
2022,CD,306,6,Park Slope and Carroll Gardens (CD6),21.6,24
2022,CD,307,6,Sunset Park (CD7),35.9,50
2022,CD,308,6,Crown Heights and Prospect Heights (CD8),74.1,68
2022,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),72.6,71
2022,CD,310,6,Bay Ridge and Dyker Heights (CD10),12.6,18
2022,CD,311,6,Bensonhurst (CD11),15.2,30
2022,CD,312,6,Borough Park (CD12),17.2,32
2022,CD,313,6,Coney Island (CD13),56.3,53
2022,CD,314,6,Flatbush and Midwood (CD14),38.1,59
2022,CD,315,6,Sheepshead Bay (CD15),18,29
2022,CD,316,6,Brownsville (CD16),167.6,129
2022,CD,317,6,East Flatbush (CD17),72.4,100
2022,CD,318,6,Flatlands and Canarsie (CD18),42.7,72
2022,CD,401,6,Long Island City and Astoria (CD1),54.5,116
2022,CD,402,6,Woodside and Sunnyside (CD2),16.4,27
2022,CD,403,6,Jackson Heights (CD3),39.5,69
2022,CD,404,6,Elmhurst and Corona (CD4),47.3,87
2022,CD,405,6,Ridgewood and Maspeth (CD5),31.8,48
2022,CD,406,6,Rego Park and Forest Hills (CD6),11.9,15
