,,,,,Pedestrian Injury Hospitalizations : Summarize
Topic: Health Behavior and Population
Subtopic: Transportation-related Injuries
Indicator Name: Pedestrian Injury Hospitalizations
Indicator Description: 
Notes: ***Number is suppressed for confidentiality reasons.

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,"Age-Adjusted Rate (per 100,000 residents)",Number,Notes Age-Adjusted Rate,Notes Number,
2016,Citywide,New York City, New York City,1,Pedestrian Injury Hospitalizations,17.4,"1,518",,,
2016,Borough,Bronx, Bronx,1,Pedestrian Injury Hospitalizations,20.9,306,,,
2016,Borough,Brooklyn, Brooklyn,2,Pedestrian Injury Hospitalizations,16.4,432,,,
2016,Borough,Manhattan, Manhattan,3,Pedestrian Injury Hospitalizations,12.7,214,,,
2016,Borough,Queens, Queens,4,Pedestrian Injury Hospitalizations,13.9,345,,,
2016,Borough,Staten Island, Staten Island,5,Pedestrian Injury Hospitalizations,21.5,105,,,
2016,Neighborhood (Community District),Brooklyn, Bay Ridge and Dyker Heights (CD10),310,Pedestrian Injury Hospitalizations,10.7,16,,,
2016,Neighborhood (Community District),Queens, Bayside and Little Neck (CD11),411,Pedestrian Injury Hospitalizations,9.1,10,,,
2016,Neighborhood (Community District),Brooklyn, Bedford Stuyvesant (CD3),303,Pedestrian Injury Hospitalizations,8.9,13,,,
2016,Neighborhood (Community District),Bronx, Belmont and East Tremont (CD6),206,Pedestrian Injury Hospitalizations,30.6,24,,,
2016,Neighborhood (Community District),Brooklyn, Bensonhurst (CD11),311,Pedestrian Injury Hospitalizations,12.3,26,,,
2016,Neighborhood (Community District),Brooklyn, Borough Park (CD12),312,Pedestrian Injury Hospitalizations,22.9,40,,,
2016,Neighborhood (Community District),Brooklyn, Brownsville (CD16),316,Pedestrian Injury Hospitalizations,38.1,32,,,
2016,Neighborhood (Community District),Brooklyn, Bushwick (CD4),304,Pedestrian Injury Hospitalizations,13.7,15,,,
2016,Neighborhood (Community District),Manhattan, Central Harlem (CD10),110,Pedestrian Injury Hospitalizations,16.7,19,,,
2016,Neighborhood (Community District),Manhattan, Clinton and Chelsea (CD4),104,Pedestrian Injury Hospitalizations,6.6,11,,,
2016,Neighborhood (Community District),Brooklyn, Coney Island (CD13),313,Pedestrian Injury Hospitalizations,15.1,17,,,
2016,Neighborhood (Community District),Brooklyn, Crown Heights and Prospect Heights (CD8),308,Pedestrian Injury Hospitalizations,23.6,22,,,
2016,Neighborhood (Community District),Brooklyn, East Flatbush (CD17),317,Pedestrian Injury Hospitalizations,17.0,27,,,
2016,Neighborhood (Community District),Manhattan, East Harlem (CD11),111,Pedestrian Injury Hospitalizations,30.5,36,,,
2016,Neighborhood (Community District),Brooklyn, East New York and Starrett City (CD5),305,Pedestrian Injury Hospitalizations,25.7,46,,,
2016,Neighborhood (Community District),Queens, Elmhurst and Corona (CD4),404,Pedestrian Injury Hospitalizations,15.6,30,,,
2016,Neighborhood (Community District),Manhattan, Financial District (CD1),101,Pedestrian Injury Hospitalizations,,,***Number is suppressed for confidentiality reasons.,***Number is suppressed for confidentiality reasons.,
2016,Neighborhood (Community District),Brooklyn, Flatbush and Midwood (CD14),314,Pedestrian Injury Hospitalizations,16.1,27,,,
2016,Neighborhood (Community District),Brooklyn, Flatlands and Canarsie (CD18),318,Pedestrian Injury Hospitalizations,14.5,29,,,
2016,Neighborhood (Community District),Queens, Flushing and Whitestone (CD7),407,Pedestrian Injury Hospitalizations,18.0,54,,,
2016,Neighborhood (Community District),Bronx, Fordham and University Heights (CD5),205,Pedestrian Injury Hospitalizations,19.9,27,,,
2016,Neighborhood (Community District),Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,Pedestrian Injury Hospitalizations,10.6,13,,,
2016,Neighborhood (Community District),Brooklyn, Greenpoint and Williamsburg (CD1),301,Pedestrian Injury Hospitalizations,16.3,27,,,
2016,Neighborhood (Community District),Manhattan, Greenwich Village and Soho (CD2),102,Pedestrian Injury Hospitalizations,,,***Number is suppressed for confidentiality reasons.,***Number is suppressed for confidentiality reasons.,
2016,Neighborhood (Community District),Bronx, Highbridge and Concourse (CD4),204,Pedestrian Injury Hospitalizations,19.0,29,,,
2016,Neighborhood (Community District),Queens, Hillcrest and Fresh Meadows (CD8),408,Pedestrian Injury Hospitalizations,11.1,19,,,
2016,Neighborhood (Community District),Bronx, Hunts Point and Longwood (CD2),202,Pedestrian Injury Hospitalizations,31.5,17,,,
2016,Neighborhood (Community District),Queens, Jackson Heights (CD3),403,Pedestrian Injury Hospitalizations,10.2,19,,,
2016,Neighborhood (Community District),Queens, Jamaica and Hollis (CD12),412,Pedestrian Injury Hospitalizations,18.3,45,,,
2016,Neighborhood (Community District),Queens, Kew Gardens and Woodhaven (CD9),409,Pedestrian Injury Hospitalizations,22.4,33,,,
2016,Neighborhood (Community District),Bronx, Kingsbridge Heights and Bedford (CD7),207,Pedestrian Injury Hospitalizations,16.4,24,,,
2016,Neighborhood (Community District),Queens, Long Island City and Astoria (CD1),401,Pedestrian Injury Hospitalizations,11.0,23,,,
2016,Neighborhood (Community District),Manhattan, Lower East Side and Chinatown (CD3),103,Pedestrian Injury Hospitalizations,9.7,17,,,
2016,Neighborhood (Community District),Manhattan, Midtown (CD5),105,Pedestrian Injury Hospitalizations,,,***Number is suppressed for confidentiality reasons.,***Number is suppressed for confidentiality reasons.,
2016,Neighborhood (Community District),Manhattan, Morningside Heights and Hamilton Heights (CD9),109,Pedestrian Injury Hospitalizations,9.9,12,,,
