dcas_bbl,dcas_hnum,display_hnum,dcas_sname,sname_1b,parcel_name,display_name,agency,primary_use_code,primary_use_text,reviewed
5038930001,,,LINCOLN AVE,LINCOLN AVENUE,FD ROOSEVELT BOARDWALK & BEACH,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,PARKS,400,RECREATIONAL FACILITY,Y
4028790031,55-24,55-24,VAN HORN STREET,VAN HORN STREET,PS 102 & MINI-SCHOOL,PS 102 AND MINI-SCHOOL,EDUC,211,ELEMENTARY SCHOOL,Y
1021320114,511,511,WEST  177 STREET,WEST  177 STREET,WASHINGTON HGHTS (GPP 1 & 2),WASHINGTON HEIGHTS REHAB (GROUPS 1 & 2),NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
3037290013,181,181,POWELL STREET,POWELL STREET,E BKLYN INDUSTRIAL INCUBATOR,E BROOKLYN INDUSTRIAL INCUBATOR,EDC,1900,IN USE-TENANTED,Y
4088340001,74-01,74-01,JAMAICA AVENUE,JAMAICA AVENUE,FRANKLIN LANE HS.ATHL FIELD,FRANKLIN LANE HS.ATHLETIC FIELD,EDUC,432,PLAYING FIELD,Y
1001210027,,,PARK ROW,PARK ROW,ENCLOSED AREA BENEATH BKLYN BR,ENCLOSED AREA BENEATH BROOKLYN BRIDGE,DOT,880,ROAD/HIGHWAY,Y
3033410001,1210,1210,GATES AVENUE,GATES AVENUE,BUSHWICK 2.(GROUPS..B.&.D),BUSHWICK II (GROUPS B AND D),NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
4136550001,253-50,253-50,149 AVENUE,149 AVENUE,PS 195 & PLAYGROUND (JOP),PS 195 AND PLAYGROUND (JOP),EDUC,211,ELEMENTARY SCHOOL,Y
1016100023,1545,1545,MADISON AVENUE,MADISON AVENUE,CARVER HOUSES & PLAYGRPUND,CARVER HOUSES AND PLAYGRPUND,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
5047920204,72,72,FOX BEACH AVENUE,FOX BEACH AVENUE,SI LEVEE PROJECT PHASE 2,STATEN ISLAND LEVEE PROJECT PHASE 2,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,Y
2024820020,,,RIVER AVE,RIVER AVENUE,IRT ROW - #4 & STATION,IRT RIGHT OF WAY - #4 AND STATION,NYCTA,861,TRANSIT WAY,Y
5000510030,,,JERSEY STREET,JERSEY STREET,RICHMOND TERRACE HSES,RICHMOND TERRACE HOUSES,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
4140090060,159-15,159-15,88 STREET,88 STREET,PS 207 & PLAYGROUND (JOP),PS 207 AND PLAYGROUND (JOP),EDUC,211,ELEMENTARY SCHOOL,Y
3037290017,1864,1864,PITKIN AVENUE,PITKIN AVENUE,E BKLYN INDUSTRIAL INCUBATOR,E BROOKLYN INDUSTRIAL INCUBATOR,DCAS,1520,NO USE-VACANT LAND,Y
1021260014,557,557,WEST  169 STREET,WEST  169 STREET,PS 128 PLYGRND & MINI-SCHL JOP,PS 128 PLAYGROUND AND MINI-SCHOOL JOINT OPERATED PLAYGROUND,PARKS,431,PLAYGROUND,Y
3002110001,39,39,HICKS STREET,HICKS STREET,PS 8 & PLAYGROUND,PS 8 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
3040780001,865,865,LIVONIA AVENUE,LIVONIA AVENUE,LIVONIA AVE SUB STATION,LIVONIA AVENUE SUB STATION,NYCTA,860,TRANSIT FACILITY,Y
3039980017,650,650,GLENMORE AVENUE,GLENMORE AVENUE,WARWICK BLOCK ASSOCIATION GDN,WARWICK BLOCK ASSOCIATION GARDEN,HPD,1520,NO USE-VACANT LAND,Y
2029790031,1219,1219,HOE AVENUE,HOE AVENUE,HOE AVE NORTH TOT LOTS GARDEN,HOE AVENUE NORTH TOT LOTS GARDEN,PARKS,472,COMMUNITY GARDEN,Y
4156930001,25-11,25-11,MOTT AVENUE,MOTT AVENUE,PS 104 & PLAYGROUND (JOP),PS 104 AND PLAYGROUND (JOP),EDUC,211,ELEMENTARY SCHOOL,Y
4067890001,70-10,70-10,164 STREET,164 STREET,PS 200 & PLAYGROUND (JOP),PS 200 AND PLAYGROUND (JOP),PARKS,430,PLAYGROUND/SPORTS AREA,Y
3077860001,3829,3829,AVENUE K,AVENUE K,PS 119 & PLAYGROUND,PS 119 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
1000740001,2,2,FULTON STREET,FULTON STREET,S ST. CPORT/BURLING SLIP/PLGRD,SOUTH STREET SEAPORT/BURLING SLIP/PLAYGROUND,EDC,1900,IN USE-TENANTED,Y
4048030001,147-36,147-36,26 AVENUE,26 AVENUE,PS 21 & PLAYGROUND (JOP),PS 21 AND PLAYGROUND (JOP),EDUC,211,ELEMENTARY SCHOOL,Y
5041600070,,,MILL ROAD,MILL ROAD,SI LEVEE PROJECT PHASE 1,STATEN ISLAND LEVEE PROJECT PHASE 1,PARKS,440,PARK,Y
3046480001,1060,1060,CLARKSON AVENUE,CLARKSON AVENUE,PS 219 & PLYGROUND,PS 219 KENNEDY KING ELEMENTARY SCHOOL AND PLAYGROUND,PARKS,430,PLAYGROUND/SPORTS AREA,Y
4079550002,86-35,86-35,235 COURT,235 COURT,PS 18 & PLAYGROUND (JOP),PS 18 AND PLAYGROUND (JOP),PARKS,430,PLAYGROUND/SPORTS AREA,Y
4082760620,57-40,57-40,MARATHON PARKWAY,MARATHON PARKWAY,PS 221 & PLAYGROUND,PS 221 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
3035100006,2067,2067,UNION STREET,UNION STREET,SUTTER AVE - UNIONS ST,SUTTER AVENUE - UNION ST,NYCHA,479,OTHER OPEN SPACE,Y
4008740052,21-02,21-02,24 DRIVE,24 DRIVE,PETER CHAPPETO MEMORIAL SQ PK,PETER CHAPPETO MEMORIAL SQ PARK,PARKS,420,MALL/TRIANGLE/HIGHWAY STRIP/PARK STRIP,Y
4021890002,67-01,67-01,110 STREET,110 STREET,FOREST HILLS HS & ATHL FIELD,FOREST HILLS HS AND ATHLETIC FIELD,EDUC,213,ACADEMIC HIGH SCHOOL,Y
