regid,sitename,description,commdist,borocd,geomsource
44b8638b-1104-46fa-9f8f-4207c99269af,,Reconstruct Kings Highway Roadway and Traffic Islands from Nostrand Avenue to Troy Avenue  in Conjunction with DEP's Reconstruction of Catch Basins and Sanitary Sewers.  Heavy commercial bus and truck traffic has significantly affected the quality of the roadbed and traffic islands causing safety problems to adjacent small homes.  Hazardous vehicular and pedestrian conditions exist.,318,314,dcp
a6b9e3dc-6ebd-4652-8298-7ca5b21f54aa,,"Broadway was once the major commercial corridor drawing consumers from all over Brooklyn. In its current state, Broadway is far from the thriving strip of businesses it was in the past. Reconstructing Broadway from Flushing Avenue to Eastern Parkway is the first step in investing in the economic future of the neighborhood. The roadbed of this heavily traveled commercial strip is in a deplorable state. The last time it was repaved was the Broadway Reconstruction Project of 1986. Recent tragic incidents illustrate the need for an enhanced roadway, lighting, and other transit safety features.",304,301,dcp
5178354b-d6aa-44e9-b150-71d434faf2ad,Brooklyn Central Library,The Brooklyn Central Public Library is in need of the following:  Abatement; ADA bathrooms; Air delivery System; Art and Music; Building Façade; Building-wide FF&E; Ceiling & Wall Restoration; Dweck Entrance Canopy; Environmental Controls on Decks; Escalator Upgrade; Exterior Exists & Plaza Cheek Walls; Exterior Lighting; Exterior Roof Access Doors Replacement; Exterior Sitework & Landscaping; Glass Block Wall Restoration & Waterproofing; Lighting; Multilingual Center; New flooring finishes throughout; Parapets; Plumbing System; Restore All Wood Finishes; Science & Industry; Skylight Rehab; Social Science; System Upgrade; Window Restoration,309,355,geoclient
69398bb4-117b-4a05-8729-8d9228567911,Bartel Pritchard Square,Improve access and add trees and amenities including a spotlight on the monument around the center of Bartel Pritchard Square,307,355,dcp
a3515620-65a5-4cfe-806e-a2312193e43d,Central Park,"Restore perimeter sidewalk (DPR)	 $400K/block Capital           
The Park’s perimeter sidewalks along Central Park West have buckled and present tripping hazards.  Hex pavers, curbs and benches would be replaced. With the completion of the reconstruction of Columbus Circle and Frederick Douglass Circle, the Central Park West sidewalk in CD7, which connects the two locations, would complete the improvements.",107,164,dcp
b220e257-db24-4114-b173-eca7c01e019c,Central Park,"Pedestrian-initiated traffic crossings in Central Park.

Electric and other infrastructure, and programming capacity, to coordinate traffic signals in Central Park electronically, including providing the ability for pedestrian walk signals to be activated by ""push buttons"" when pedestrians want to cross the Drives. The traffic signals in Central Park were installed decades ago, essentially to govern private motor vehicle traffic, which has increasingly been prohibited in the Park. CB7 supports, at a minimum, a trial period during which all private motor vehicles would be prohibited from using the Drives at all times.",107,164,dcp
9e95d990-87ba-4f92-9a05-8577c41b4367,82nd Street Partnership,"Community Board 4's only BID is grossly understaffed taking into account its catchment area, and its growth potential. Requesting that funds be allocated to increase the staffing for this BID in the heart of Jackson Heights and Elmhurst.",404,403,geoclient
541cc4d6-65bc-4858-bd4d-9de2e5b4204e,,"Rebuild Road Surface Overpass on Astoria Blvd. This road is highly utilized by autos, vans, trucks, and trailers. The road surface has reoccurring issues i.e. buckling , potholes etc. and needs to be rebuilt in order to serve the community to it full potential.",401,403,dcp_geojson
c21f352b-bd0d-4a44-8456-0ef3245ad1fe,Casey Stengel Bus Depot,Reconstruct and Correct Drainage systems at Flushing Bus Depot.  (1980-project),407,481,dcp
04169c53-d07e-4903-a4bb-a01420952f87,Flushing Meadows Corona Park,"Over the past few years, new synthetic soccer fields were constructed within Flushing Meadows Corona Park, but not all were completed. Funding is being requested to complete the construction of the remaining synthetic soccer fields.",404,481,dcp
3752dfe8-5d01-4b88-a9c6-f2f8ab7a66d3,Flushing Meadows Corona Park,"A design consultant needs to evaluate the existing signage within the Park to determine what new signage needs to be installed, as well as where it should be installed. At present the existing signage at times, is not very clear, and must be upgraded in order to get patrons to the correct venue within the Park.",407,481,dcp
5c260a16-de50-4c03-9916-c9c8779b0f92,Flushing Meadows Corona Park,Requesting that an NYPD satellite station be installed within the confines of Flushing Meadows Corona Park to provide safety in this heavily used large park.,404,481,dcp
54dc9bdc-09ca-451b-8fa9-2eb76c842a08,Flushing Meadows Corona Park,"The reflecting pools near the Unisphere in Flushing Meadows Corona Park   (FMCP)have been improperly/barely used over the last few years. We are elated to know that recent funding has allowed for a partial renovation of these pools,  However, additional funding is being requested to help with phase 2 of the adaptive renovation for Fountain of the Fairs and reflecting pools at FMCP.",404,481,dcp
b957ff1b-a15c-4077-83c2-3b00cee7593f,Flushing Meadows Corona Park,"Provide mobile/temporary bathrooms near ball fields in southern section of Flushing Meadows Corona Park.

Needed for the youth and adults who use the Park, especially during large events.",408,481,dcp
c5cbc33b-54ec-4157-b2c0-05511f8c8438,Flushing Meadows Corona Park,Over the years crime has increased in Flushing Meadows Corona Park. The Precincts surrounding the park are too busy to assist with regard to park security. If an incident was to occur within the park the response time would be significantly improved with the establishment of a satellite precinct. Safety must be our number one priority for the myriad of families utilizing the park on a daily basis,407,481,dcp
8d526b30-cb67-4565-8251-d5b450e653f5,Flushing Meadows Corona Park,Rehabilitate Flushing Meadow Corona Park and rebuild bridge over Flushing Creek at the south end of Willow Lake.,408,481,dcp
72d78a26-aa9d-41c0-80b1-c11494625a7b,Playground for All Children,"With the substantial influx of events within this small park, renovations would be a welcome and much needed addition. The beautification of the front entrance, repainting of overhead steel beams, and implementation of security cameras throughout the grounds are all necessary upgrades to meet current and future use.",404,481,dcp
5b10cb13-7e29-40e1-9948-c399204e2f63,Flushing Meadows Corona Park,"There is a need for a Nature/Environmental Center to be located by the South West Corner of Meadow Lake in FMCP.  This Center would provide various groups i.e. birdwatchers, Boy & Girl Scouts and students to utilize the Park in a more organized environmental atmosphere.  This building which would need renovation was originally utilized the boat storage.",407,481,dcp
a10c9e41-b47d-46f7-bc71-6a26350cc3cd,Flushing Meadow Corona Park,Build an environmental center in Flushing Meadow Corona Park. This center is needed to provide a variety of programs for the community.,408,481,dcp
ffce7d52-5219-4469-8500-7ae31b933df7,ST GEORGE FERRY,"Community Board 2 is requesting Ferry Service from St. George to Bay Ridge Brooklyn.  The connection between two great boroughs, which are currently separated by a $17 toll and an hour commute would provide incalculable benefits to the residents and economies of these two boroughs.",502,501,dcp_geojson
6ec6e18f-6a95-4f1e-8626-2cd6e24705f8,,"Sufficient funds are requested for the reconstruction of Court Street from Atlantic to Hamilton Avenues with historic amenities. Preliminary Design Investigation to ascertain the condition of the infrastructure along the project limits. Relocate all utility service boxes below ground, repair/replace missing curb sections, reset curb elevations, repair concrete bus pads and repair defective sidewalk conditions. Use granite curb, bluestone or pigmented concrete sidewalks, historic replica street hardware including street lights, poles-in-ground, fire alarm boxes and hydrants. Also, the inclusion of appropriate traffic calming devices such as, but not limited to, neck downs, bus bulbs, etc. as called for in the Downtown Brooklyn Traffic Calming project.",306,302,dcp
4d8858fb-48ab-47e4-8fdd-5246dca72522,Ed Koch Queensborough Bridge,"Installation of Real Time Traffic Boards at the Approaches to the 
Queensborough Koch Bridge for Lower & Upper Levels to update Travelers of Road Conditions, Delays and any Necessary Important Information that may have an Impact",401,402,dcp_geojson
9ff6b82a-afbf-4f3c-92e1-7e4e9ac2823e,Coney Island Hospital,"Coney Island Hospital, located at 2601 Ocean Parkway is in need of upgrading its existing equipment. To be specific: Ten (10) Ventilators at a cost of $397,823, Ten (10) Anesthesia Machines at a cost of $506,320 and lastly a Holmium Laser for GU at a cost of $126,985.",315,313,geoclient
f97ceba9-1729-4369-8108-b05694ae333e,Coney Island Hospital,"Coney Island Hospital located at 2601 Ocean Parkway is the closest Hospital to our district, it is near every major road artery in the community, the Belt Parkway and Ocean Parkway.  Severely affected by Super Storm Sandy, the hospital is currently under renovations and is in the process of constructing a new flood-proof tower. With the new tower underway, Coney Island Hospital should be given the additional funding it needs to become a Level 1 Trauma Center, they currently don't have the equipment needed to designate them as such. Community Board 15 would like to see them properly funded to achieve this trauma care designation.",315,313,dcp
