name,borough,commdist,regid,regdate,progress,parentregid,parentfieldid,need,request,description,supporters1,supporters2,agency,budgetcategory,priority,conornew,trackingnum,firstyrsubmitted,site1,sitename,addressnum,streetname,blocknum,lotnum,streetsegment,streetcross1,streetcross2,refname,kill,respdesc,agyresponse,agyresponsecat,agencyacro,denominator,geomsource,dataname,datasource,geom,cifirst,cilast,cititle,ciemail,ciphone,newtrackingno,requestcategory,needcode,projectid1,projectid2,projectid3,budgetline1,budgetline2,budgetline3,agyresponsecode,additionalcomment,newtrackingno,borough,commdist,priority,requestcategory,request,needcode,description,location,supporters1,supporters2,projectid1,projectid2,projectid3,budgetline1,budgetline2,budgetline3,agency,agyresponsecode,agyresponse,agyresponsecat,agyresponsecatdesc,additionalcomment,regidb
,,,327936d5-e01d-4798-acdc-08c367d8968a,9/28/2017 14:50,0%,b906ff69-3683-4f1e-ab41-d395de456a70,35665,Health care facilities,Provide a new or expanded health care facility,asdfs,asdfs,asdfs,Health and Hospitals Corporation,Expense,10,Continued Support,asdf,1989,"No, this is a request for our community more generally",,,,,,,,,safsda,,,,,HHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx Community Board 3,Bronx,203,f0a20dff-314a-403d-a641-0a19e3e16892,10/28/2015 15:22,0%,d7663829-4e68-44ac-9b61-0c57c5afa470,36468,,,,,,,,9999,,,,,,,,,,,,,,,,,,,,,,,,John,Dudley,District Manager,jdudley@cb.nyc.gov,718-378-8054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9c26219d-0570-466a-8f9e-0c0019323d30,9/27/2016 16:49,0%,6ff2b62f-6f43-4b86-b4c0-0a2efd0a236b,36219,Transportation infrastructure,"Roadway maintenance (i.e. pothole repair, resurfacing, trench restoration, etc.)",,,,Department of Transportation,Capital,1,New Capital Request,,,"Yes, this request is for a specific site",,120,broadway,,,,,,Pothole 1,,,,,DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,e6357c42-5eed-4487-b2a2-115cd1207df4,6/22/2017 17:51,0%,0cafe182-ccda-401a-9c12-86ed04b9ccab,36108,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Zone less!,,,Department of City Planning,Expense,,,,,"Yes, this request is for a specific site",Battery Park City,,,,,,,,,,,,,DCP,,algorithm,dpr_parksproperties,DPR,0106000020E6100000010000000103000000010000000E000000FAF3C753228152C041DA7E152A5B4440D34EADBE138152C04802D60B255B444025720472138152C0B75EF754255B4440D357E61A0C8152C049EEF4C4225B44401639C7A9058152C03803DD251D5B4440CC7C381C078152C0FCF4DB7E135B4440E20FCFF4158152C00A95997B195B444065C86216168152C03B60D9CF185B444039D2ACC31E8152C07AD5B8801C5B44406A0362BB1E8152C04B2622731D5B444000487789208152C0525D03171E5B444002775FD6208152C0450931291B5B4440EC354A5D238152C0EE5196071C5B4440FAF3C753228152C041DA7E152A5B4440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,79634b64-3e68-435c-96b0-307a81d15cd1,6/14/2017 16:27,0%,6ff2b62f-6f43-4b86-b4c0-0a2efd0a236b,35666,Health care facilities,Renovate or upgrade an existing health care facility,We need a new hospital. Fix the one we have before it collapses.,,,Health and Hospitals Corporation,Capital,2,New Capital Request,,,"Yes, this request is for a specific site",,120,broadway,,,,,,Hospital,,,,,HHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,381c1d62-8b09-4ea5-bd8a-39dd65ef7f32,4/28/2016 14:24,0%,52cb5899-4b22-4dc1-9c34-c908697ebd08,35665,Health care facilities,Provide a new or expanded health care facility,asdfsadfsadf,adsfasdf,asdfasdf,Health and Hospitals Corporation,Capital,1,Capital Request (Priority),12345,,"Yes, this request is for a specific site",sadf,adsf,sadf,,,,,,asdfsadf,,,,,HHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3cf46915-0df5-458d-976a-439021216b8f,8/23/2017 11:58,0%,300b5e2d-a593-4eff-ba2c-fbb34e840c1d,36799,Schools and educational facilities,Provide a new or expand an existing elementary school,,,,School Construction Authority,Expense,1,,,,"No, this is a request for our community more generally",,,,,,,,,1234,,,,,SCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,099be984-d8d4-4eca-a71b-49bae60bea6c,10/6/2015 17:57,0%,775c5ae3-7e98-4074-9c75-28c3ccb5bdef,36010,Sewage and flooding,"Build new, expand or repair sanitary sewers",dsfg,dsfg,dfsg,Department of Health and Mental Hygiene,Capital,,Continued Support,,,,,,,,,,,,,,,,,DOHMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,dbd366f2-c6a4-46a9-bc9c-6f90969e9dbd,4/28/2016 14:53,0%,52cb5899-4b22-4dc1-9c34-c908697ebd08,35816,Services to support low-income New Yorkers,"Provide, expand, or enhance educational programs for adults",George Test,,,Human Resources Administration,Expense,3,,,,"Yes, this request is for a specific site",,,,,,,,,Nickname 1,,,,,HRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8a7d617f-36f0-4220-adfe-79a0cf18ac6e,8/29/2017 11:33,0%,c740ff09-815a-40a4-9ad1-047b8e5935fe,35665,Health care facilities,Provide a new or expanded health care facility,sdfsdaf,,,Health and Hospitals Corporation,Capital,1,,,,"No, this is a request for our community more generally",,,,,,,,,sdfsdafsd,,,,,HHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bbe3cfaf-cd74-4be3-8fa3-856b12d64328,6/23/2017 16:23,0%,e7fa805a-2d5b-41b9-9835-2aadb025a4b6,36413,Community board facilities and staff,"Renovate, upgrade or provide new community board facilities and equipment",,The mayor,The president,Department of Citywide Administrative Services,Expense,1,,,,"Yes, this request is for a specific site",office,321,xerox street,,,,,,Carpeting,,,,,DCAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,379946ee-e2f3-4c05-8733-91220e00d1b4,7/13/2016 12:50,0%,e7fa805a-2d5b-41b9-9835-2aadb025a4b6,35767,NYPD staff and training resources,Assign additional uniformed officers,asdfdsa,asfsad,asfddsa,Police Department,Expense,66,,asdffdsa,1992,"No, this is a request for our community more generally",,,,,,,,,test gw,,,,,NYPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,c1f514ac-8924-456e-b905-9af2adb3c44e,10/3/2017 11:32,0%,63ca436b-a787-4823-be15-d1ed5749afce,36799,Schools and educational facilities,Provide a new or expand an existing elementary school,,,,School Construction Authority,Capital,,,,,"No, this is a request for our community more generally",,,,,,,,,,,,,,SCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8af86b72-38d5-43b6-b32e-9e4d940a1cb7,10/6/2015 18:05,0%,775c5ae3-7e98-4074-9c75-28c3ccb5bdef,36013,Sewage and flooding,"Build new, expand, or repair wastewater treatment or water pollution control facilities",sadf,sadf,dsaf,Department of Health and Mental Hygiene,Capital,9999,Capital Request (Priority),,,,,,,,,,,,,,,,,DOHMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,fd38e9f4-ed76-4ace-a2fa-ab1dcf008c6e,2/28/2017 11:02,0%,6ff2b62f-6f43-4b86-b4c0-0a2efd0a236b,35665,Health care facilities,Provide a new or expanded health care facility,,,,Health and Hospitals Corporation,Capital,,,,,"Yes, this request is for a street segment",,,,,,,,,,,,,,HHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,c2535300-7ba8-4e22-b5af-bc84892c54c5,10/13/2017 13:25,0%,2058203b-e260-4add-803b-d15771d8ad49,36213,Traffic and traffic flow,Conduct traffic or parking studies,,,,Department of Transportation,Expense,,,,,"Yes, this request is for a specific site",,,,,,,,,,,,,,DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,faa0d0c9-5ab1-4d31-9997-c03225fbddea,4/28/2016 14:54,0%,52cb5899-4b22-4dc1-9c34-c908697ebd08,35818,Services to support low-income New Yorkers,"Provide, expand, or enhance job search and placement support",adsfasdf,,,Human Resources Administration,Expense,2,,,,"No, this is a request for our community more generally",,,,,,,,,Nickname 2,,,,,HRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3c13d58f-8c06-49ae-8757-c3222c9a5c87,4/28/2016 14:18,0%,52cb5899-4b22-4dc1-9c34-c908697ebd08,36799,Schools and educational facilities,Provide a new or expand an existing elementary school,test,,,School Construction Authority,Capital,2,,,,"Yes, this request is for a specific site",,,,,,,,,Nickname here,,,,,SCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,d822a64c-238e-44d4-b412-c646f94fea64,10/6/2015 18:04,0%,775c5ae3-7e98-4074-9c75-28c3ccb5bdef,36012,Sewage and flooding,"Provide new or expand green infrastructure, e.g. greenbelts, bio swales",asdf,sdaf,sadf,Department of Health and Mental Hygiene,Capital,9999,Capital Request (Priority),,,,,,,,,,,,,,,,,DOHMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,e5f4a3fd-0601-43ef-8271-cef59f04a589,10/6/2015 17:51,0%,775c5ae3-7e98-4074-9c75-28c3ccb5bdef,36615,Child care,"Provide, expand, or enhance funding for Day Care Slots and Head Start Programs",sadf,sdaf,dsaf,Administration for Childrens Services,Capital,1,,,,,,,,,,,,,,,,,,ACS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,b15ddbb1-86e3-41e5-a633-d7674af993b0,11/6/2015 17:02,0%,2e247197-046d-42e7-8b16-1f110bf6e903,36213,Traffic and traffic flow,Conduct traffic or parking studies,test,test,test,Department of Transportation,Expense,,,,,,,,,,,,,,,,,,,DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5426b95c-7cb1-4c81-b545-dad03112e635,4/28/2016 14:50,0%,52cb5899-4b22-4dc1-9c34-c908697ebd08,36712,After school programs,"Provide, expand, or enhance after school programs for elementary school students",asfasdfdsaf,,,Department of Youth and Community Development,Expense,4,,,,"Yes, this request is for a specific site",,,,,,,,,Aargh,,,,,DYCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6940161f-5d39-43b8-aa65-dce37cfd546c,11/6/2015 17:01,0%,2e247197-046d-42e7-8b16-1f110bf6e903,36211,Traffic and traffic flow,Address traffic congestion,test,test,test,Department of Transportation,Expense,,,,,,,,,,,,,,,,,,,DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,e03116a5-e58e-42ac-a381-e893e5b4b03e,11/6/2015 17:01,0%,2e247197-046d-42e7-8b16-1f110bf6e903,36212,Traffic and traffic flow,"Improve traffic and pedestrian safety, including traffic calming",test,test,test,Department of Transportation,Capital,,,,,,,,,,,,,,,,,,,DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
