INSTRUCTIONS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Number,,,,,,,% of total city applications,,,,,,% of total city signed leases,,,,,,,,,,
403,"230,347",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
404,"255,971",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
405,"360,315",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
406,"112,060",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
407,"226,901",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
408,"200,384",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
409,"266,220",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
410,"177,728",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
411,"64,106",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
412,"722,507",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
413,"343,649",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
414,"311,946",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
501,"254,548",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
502,"71,690",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
503,"45,380",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
NYC Resident - Community District Unknown,"2,232,729",N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
signed leases (2014-2020),,,,,,,,,,,,,,,,,,,,,,,,
Community District,Total,Asian NH,Black NH,Hispanic,White NH,All other,,,,,,,,,,,,,,,,,,
101,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
102,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
103,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
104,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
105,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
106,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
107,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
108,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
109,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
110,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
111,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
112,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
201,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
202,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
203,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
204,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
205,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
206,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
207,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
208,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
209,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
210,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
211,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
212,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
301,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
302,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
303,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
304,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
305,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
306,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
307,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
308,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
309,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
310,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
311,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
312,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
313,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
314,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
315,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
316,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
317,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
318,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
401,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
402,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
403,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
404,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
405,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
406,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
407,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
408,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
409,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
410,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
411,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
412,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
413,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
414,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
501,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
502,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
503,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
NYC Resident - Community District Unknown,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
