M1,M1 districts are designated for areas with light industries.
M2,M2 districts occupy the middle ground between light and heavy industrial areas.
M3,"M3 districts are designated for areas with heavy industries that generate noise, traffic or pollutants."
C1,C1 districts are mapped along streets that serve local retail needs within residential neighborhoods.
C2,C2 districts are mapped along streets that serve local retail needs within residential neighborhoods.
C3,"C3 districts permit waterfront recreational activities, primarily boating and fishing, in areas along the waterfront."
C4,"C4 districts are mapped in regional centers where larger stores, theaters and office uses serve a wider region and generate more traffic than neighborhood shopping areas."
C5,C5 districts are intended for commercial areas that require central locations or serve the entire metropolitan region.
C6,C6 districts are intended for commercial areas that require central locations or serve the entire metropolitan region.
C7,C7 districts are specifically designated for large open amusement parks.
C8,"C8 districts, bridging commercial and manufacturing uses, provide for automotive and other heavy commercial services that often require large amounts of land."
R1,"R1 districts are leafy, low-density neighborhoods of large, single-family detached homes on spacious lots."
R2,Residential development in R2 districts is limited exclusively to single-family detached houses.
R3,"R3 districts are the lowest density districts that allow semi-detached one- and two-family residences, as well as detached homes"
R4,"R4 districts are general residence districts that allow a variety of housing types, including low-rise attached houses, small multifamily apartment houses, and detached and semi-detached one- and two-family residences."
R5,"R5 districts are general residence districts that allow a variety of housing types, including low-rise attached houses, small multifamily apartment houses, and detached and semi-detached one- and two-family residences."
R6,"R6 zoning districts are widely mapped in built-up, medium-density areas of the city whose character can range from neighborhoods with a diverse mix of building types and heights to large-scale “tower in the park” developments."
R7,"R7 zoning districts are medium-density apartment house districts that encourage lower apartment buildings on smaller lots and, on larger lots, taller buildings with less lot coverage."
R8,"R8 zoning districts are high-density apartment house districts that encourage mid-rise apartment buildings on smaller lots and, on larger lots, taller buildings with less lot coverage."
R9,R9 districts are high-density districts that permit a wide range of building types including towers.
R10,R10 districts are high-density districts that permit a wide range of building types including towers.
BP,The Special Battery Park City District
