Abbreviation,Agency Name
ACS,Agency for Children's Services
ACTRY,Office of the Actuary
AGING,Department for the Aging
BIC,Business Integrity Commission
BLDGS,Department of Buildings
BOC,Board of Correction
BP-BK,Borough President - Brooklyn
BP-BX,Borough President - Bronx
BP-MN,Borough President - Manhattan
BP-QN,Borough President - Queens
BP-SI,Borough President - Staten Island
BPL,Brooklyn Public Library
BSA,Board of Standards & Appeals
CB101,Community Board 101
CB102,Community Board 102
CB103,Community Board 103
CB104,Community Board 104
CB105,Community Board 105
CB106,Community Board 106
CB107,Community Board 107
CB108,Community Board 108
CB109,Community Board 109
CB110,Community Board 110
CB111,Community Board 111
CB112,Community Board 112
CB201,Community Board 201
CB202,Community Board 202
CB203,Community Board 203
CB204,Community Board 204
CB205,Community Board 205
CB206,Community Board 206
CB207,Community Board 207
CB208,Community Board 208
CB209,Community Board 209
CB210,Community Board 210
CB211,Community Board 211
CB212,Community Board 212
CB301,Community Board 301
CB302,Community Board 302
CB303,Community Board 303
CB304,Community Board 304
CB305,Community Board 305
CB306,Community Board 306
CB307,Community Board 307
CB308,Community Board 308
CB309,Community Board 309
CB310,Community Board 310
CB311,Community Board 311
CB312,Community Board 312
CB313,Community Board 313
CB314,Community Board 314
CB315,Community Board 315
CB316,Community Board 316
CB317,Community Board 317
CB318,Community Board 318
CB401,Community Board 401
CB402,Community Board 402
CB403,Community Board 403
CB404,Community Board 404
CB405,Community Board 405
CB406,Community Board 406
CB407,Community Board 407
CB408,Community Board 408
CB409,Community Board 409
CB410,Community Board 410
CB411,Community Board 411
CB412,Community Board 412
CB413,Community Board 413
CB414,Community Board 414
CB501,Community Board 501
CB502,Community Board 502
CB503,Community Board 503
CCRB,Civilian Complaint Review Board
CEO,Center for Economic Opportunity
CFB,Campaign Finance Board
CIVIL,City Civil Service Commission
CLERK,Office of the City Clerk
CNTYC,County Clerk
COIB,Conflict of Interest Board
COMPT,Office of the Comptroller
CORR,Department of Correction
COUNC,City Council
CULT,Department of Cultural Affairs
CUNY,City University of New York
DA-BK,District Attorney - Brooklyn
DA-BX,District Attorney - Bronx 
DA-MN,District Attorney - Manhattan
DA-QN,District Attorney - Queens
DA-SI,District Attorney - Staten Island
DA-SP,District Attorney-Office Special Narcotics
DCA,Department of Consumer Affairs
DCAS,Department of Citywide Administrative Services
DDC,Department of Design & Construction
DEP,Department of Environmental Protection
DHS,Department of Homeless Services
DOI,Department of Investigation
DOITT,Department of Information Technology & Telecommunications
DORIS,Department of Records and Information Services
DOT,Department of Transportation
DSBS,Dept. of Small Business Services
DVS,Department of Veterans' Services
DYCD,Department of Youth & Community Development
EDC,Economic Development Corporation
EDUC,Department of Education
ELECT,Board of Elections
FINAN,Department of Finance
FIRE,Fire Department
FISA,Financial Information Services Agency
HHC,Health and Hospitals Corporation
HLTH,Department of Health
HPD,Department of Housing Preservation and Development
HRA,Human Resources Administration
HUMRT,Commission on Human Rights
HYDC,Hudson Yards Development Corporation
IBO,Independent Budget Office
LAW,Law Department
LDMKS,Landmarks Preservation Commission
MAYOR,Office of the Mayor
MOME,Mayor's Office of Media and Entertainment
MTA,Metropolitan Transportation Authority
NYC,New York City
NYCHA,New York City Housing Authority
NYCTA,NEW YORK CITY TRANSIT AUTHORITY
NYPD,Police Department
NYPL,New York Public Library
NYS,New York State
OATH,Office of Admin Trials/Hearings
OCA,Office of Court Administration
OCB,Office of Collective Bargaining
OCME,Office of the Medical Examiner
OEM,Office of Emergency Management
OLR,Office of Labor Relations
OMB,Office of Management and Budget
OPA,Office of Payroll Administration
PA-BK,Public Administrator's Office - Brooklyn
PA-BX,Public Administrator's Office - Bronx
PA-MN,Public Administrator's Office - Manhattan
PA-QN,Public Administrator's Office - Queens
PA-SI,Public Administrator's Office - Staten Island
PARKS,Department of Parks and Recreation
PBADV,Office of Public Advocate
PLAN,Department of City Planning
PORT,Port Authority
PRIV,Private
PROB,Department of Probation
QPL,Queens Borough Public Library
RGB,Rent Guidelines Board
SANIT,Department of Sanitation
SCA,School Construction Authority
TAXCM,Tax Commission
TBTA,Triborough Bridge & Tunnel Authority
TLC,Taxi and Limousine Commission
UDC,Urban Development Corporation
UNKN,Unknown
