unique_id,tracking_code,borough,borough_code,cd,commdist,cb_label,type_br,type,priority,need,request,explanation,location,site_name,address,street_name,street_cross_1,street_cross_2,supporters_1,supporters_2,parent_tracking_code,agency_acronym,agency,agency_category_response,agency_response,geo_function,geom
1296,211202404E,Brooklyn,3,11,311,BK 11,E, ,04,Sewage and flooding,Other garbage collection and recycling requests,Increase funding for motorized litter patrols throughout the district.,,,,,,,,,,DSNY,827,9,This program is currently funded and the Department of Sanitation recommends its continued support.,NO LOCATION DATA,
1342,212202401C,Brooklyn,3,12,312,BK 12,C,street,01,Traffic and traffic flow,"Roadway maintenance (i.e. pothole repair, resurfacing, trench restoration, etc.)",We request an increase in funding for annual street repaving. Not enough of our broken streets are repaired. This damages passing vehicles and underground infrastructure and is a safety hazard for pedestrians.,,,,,,,,,,DOT,841,7,Please contact the Borough Commissioner with the specific location(s) of concern.,NO LOCATION DATA,
1360,212202410C,Brooklyn,3,12,312,BK 12,C, ,10,NYPD programs,Other capital budget request for DPR,"BRIZZI PARK- Brizzi Park needs a comfort station. Additionally, the rubber mats are buckling and need to be replaced.",,,,,,,,,,DPR,846,5,This project has not been funded.,NO LOCATION DATA,
1392,213202402E,Brooklyn,3,13,313,BK 13,E, ,02,"Park, buildings, and access improvements",Address traffic congestion,Coney Island and Brighton Beach needs a comprhesive traffic study to identify effective strategies to improve mobility and access while reducing congestion and improving traffic safety. The area is experiencing development pressures and continues to experience a significant seasonal surge in traffic volumedemand which our local street network connot adequately process.,,,,,,,,,,DOT,841,2,The agency will try to accommodate this issue within existing resources.,NO LOCATION DATA,
2884,402202440C,Queens,4,02,402,QN 02,C, ,40,Park maintenance and safety,Provide a new or expand an existing elementary school,Request the SCA conduct an analysis for an additional elementary school  within the boundaries of Community Board 2 in Court Square neighborhood.,,,,,,,,,,DOE,40,2,Limited seat need has been identified in the area specified. Location for a school will be based on site availability.,NO LOCATION DATA,
1403,213202408C,Brooklyn,3,13,313,BK 13,C, ,08,NYPD facilities and equipment,"Evaluate a public location or property for green infrastructure, e.g. rain gardens, stormwater greenstreets, green playgrounds",We need to provide new green infrastructure such as stormwater green streets and green playgrounds along the shoreline. We realize that short term solutions are needed until the long term plans are approved and financed.,,,,,,,,,,DEP,826,8,Further study by the agency of this request is needed.,NO LOCATION DATA,
1418,213202415E,Brooklyn,3,13,313,BK 13,E,general,15,Literacy Programs,Improve city-owned NYC public markets,We need to improve our public markets. We currently have two location and need to bring more to the area.,,,,,,,,,,EDC,802,8,Further study by the agency of this request is needed.,NO LOCATION DATA,
1437,213202425C,Brooklyn,3,13,313,BK 13,C,general,25,Commercial district revitalization,"Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",We need a dog run at Asser Levy Park.,,,,,,,,,,DPR,846,8,This project has not been funded.,NO LOCATION DATA,
1461,213202437E,Brooklyn,3,13,313,BK 13,E, ,37,Transit Service,Increase resources for youth crime prevention programs,We need to increase resources for youth crime prevention programs such as Explorers Program. We need to offer the youth more positive activities and not to fear law enforcement officers.,,,,,,,,,,NYPD,56,3,"Additional NYPD resources for this project are unavailable at this time due to funding constraints. However, the program will continue to operate within current funding levels.",NO LOCATION DATA,
1496,215202426E,Brooklyn,3,15,315,BK 15,E, ,26,Homelessness prevention programs,Other NYPD programs requests,"Currently, Explorers must pay a fee of $24 a year to participate in this worthwhile Police program. Ideally, we would like to see that fee paid for or waived by the City of New York to encourage greater participation in the program.",,,,,,,,,,NYPD,56,3,"Additional NYPD resources for this project are unavailable at this time due to funding constraints. However, the program will continue to operate within current funding levels.",NO LOCATION DATA,
1607,215202440C,Brooklyn,3,15,315,BK 15,C, ,CS,After school programs,Provide new or upgrade existing sanitation garages or other sanitation infrastructure,Brooklyn Community Board 15's Sanitation garage is a temporary structure of trailers located on Knapp Street. We are requesting a permanent home for our Sanitation garage and encourage more aggressive siting actions by the department.,,,,,,,,,,DSNY,827,5,"Although the Department of Sanitation supports this program, due to fiscal constraints the availability of funds is uncertain.",NO LOCATION DATA,
1645,216202420C,Brooklyn,3,16,316,BK 16,C,site,20,"Park, buildings, and access improvements",Renovate interior building component,Renovate all school buildings in District #23 to make them ADA compliant.,,,,,,,CEC of District #23,,,DOE,40,5,This request includes more than one proposal.  Funding for part is recommended.,NO LOCATION DATA,
2586,312202403C,Manhattan,1,12,112,MN 12,C, ,03,Environmental protection,Renovate or upgrade a senior center,System-wide upgrade of CB12M area to improve access to connectivity and WiFi.,,,,,,,,,,DFTA,125,3,Approval of this request depends on sufficient Federal/State funds.,NO LOCATION DATA,
2633,312202426E,Manhattan,1,12,112,MN 12,E, ,26,Educational programs,Other educational programs requests,Provide funding to increase support for social-emotional learning skills programs for students in School District 6 .,,,,,,,,,,DOE,40,8,Contact the Community Board Unit at OMB for information regarding this request.,NO LOCATION DATA,
2683,312202451E,Manhattan,1,12,112,MN 12,E,site,51,Schools and educational facilities,Other zoning and land use requests,Education campaign on potential impact of the Inwood Rezoning on businesses,,,,,,,,,,DCP,30,10,This request is outside of DCP's jurisdiction.,NO LOCATION DATA,
2735,401202410E,Queens,4,01,401,QN 01,E, ,10,NYPD staff and training resources,Provide or expand occupational skills training programs,"There is a need for Vocational Training in our District that is not being Filled. Residents Youth, Women, Immigrant, Minority, Business of our District (CD1Q) require the opportunity to improve their Skills to Increase their Opportunities.",,,,,,,,,,SBS,801,1,The agency will accommodate this issue within existing resources.,NO LOCATION DATA,
