datasource,id,location,correction,latitude,longitude,city
nysdec_state_facility_permits,2-6402-00327/00004,605 FT S OF HANNAH ST NEAR 355 FRONT ST,355 FRONT ST,40.629347,-74.074578,STATEN ISLAND
nysdec_state_facility_permits,2-6301-00106/00021,GRAND CENTRAL PKWY & 94TH ST,GRAND CENTRAL PKWY & 94TH ST,40.772049,-73.876223,FLUSHING
nysdec_state_facility_permits,2-6301-00008/02003,43-10 BERRIAN BLVD,43-10 BERRIAN BLVD,40.778575,-73.894842,ASTORIA
nysdec_state_facility_permits,2-6101-00371/00001,BROOKLYN NAVY YARD/BLDGS 41A 234 270 275 121,63 Flushing Avenue,40.69802,-73.974986,BROOKLYN
nysdec_state_facility_permits,2-6302-00007/00020,31ST AVE & 122ND ST,31ST AVE & 122ND ST,40.769628,-73.846627,COLLEGE POINT
nysdec_state_facility_permits,2-6403-00141/00003,FRESH KILLS|600 W SERVICE RD,600 W SERVICE RD,40.583069,-74.192892,STATEN ISLAND
nysdec_state_facility_permits,2-6401-00042/00059,500 WESTERN AVE AND GULF AVE B 1760 L 115,WESTERN AVE AND GULF AVE,40.630087,-74.186676,STATEN ISLAND
nysdec_state_facility_permits,2-6101-01278/00001,435 GREENPOINT AVE,435 GREENPOINT AVE,40.733215,-73.941575,BROOKLYN
nysdec_state_facility_permits,2-6005-00011/00009,50 EASTCHESTER RD & PELHAM PKWY SOUTH,EASTCHESTER RD & PELHAM PKWY SOUTH,40.857137,-73.843793,BRONX
nysdec_state_facility_permits,2-6305-00058/00001,56-06 COOPER AVE,56-06 COOPER AVE,40.692972,-73.901872,RIDGEWOOD
nysdec_state_facility_permits,2-6106-00002/00023,"BAY 41ST ST, 25TH AVE & GRAVESEND BAY",400 Bay 41st St,,,BROOKLYN
nysdec_state_facility_permits,2-6007-00025/02005,COSTER ST & RYAWA AVE,COSTER ST & RYAWA AVE,40.804813,-73.884899,BRONX
nysdec_state_facility_permits,2-6308-00019/00095,JOHN F KENNEDY EXPRY,JOHN F KENNEDY AIRPORT,40.648321,-73.788281,JAMAICA
nysdec_state_facility_permits,2-6201-00056/00009,630-650 & 722 W 168TH ST,650 W 168TH ST,40.841635,-73.94109,NEW YORK
nysdec_state_facility_permits,2-6101-00349/00011,BROOKLYN NAVY YARD-WALLABOUT CHANNEL,63 Flushing Avenue,40.69802,-73.974986,BROOKLYN
nysdec_state_facility_permits,2-6102-00010/00019,HAMILTON AVE & GOWANUS CANAL,"500 Hamilton Ave, Brooklyn, NY 11232",40.668575,-73.997718,BROOKLYN
nysdec_state_facility_permits,2-6202-01787/00002,637 W 125TH ST & 615 W 131ST ST,"637 W 125th St, New York, NY 10027",40.817411,-73.959276,NEW YORK
nysdec_state_facility_permits,2-6206-00038/00015,700 FIRST AVE,700 FIRST AVE,40.747087,-73.970412,NEW YORK
nysdec_state_facility_permits,2-6204-00007/00016,E 91ST ST & EAST RIVER,E 91ST ST & EAST RIVER,40.779390,-73.943003,NEW YORK
nysdec_state_facility_permits,2-6005-00011/00009,EASTCHESTER RD & PELHAM PKWY SOUTH,1400 Pelham Pkwy S,40.855860,-73.846440,BRONX
nysdec_state_facility_permits,2-6202-00106/00005,3333 BROADWAY,3333 Broadway,40.819755,-73.957083,NEW YORK
nysdec_state_facility_permits,2-6403-00277/00002,"355, 356, 364 MEREDITH AVE. AND 114 SPENCER ST.|BLOCK 2810 LOTS 96,98,102; BLOCK 1801 LOT 20",355 Meredith Ave,40.601374,-74.196059,STATEN ISLAND
nysdec_state_facility_permits,2-6304-01422/00002,57-77 57TH ST,58-77 57th St,40.718985,-73.911800,MASPETH
nysdec_state_facility_permits,2-6301-00767/00006,1 LAGUARDIA AIR PORT,1 LAGUARDIA AIR PORT,40.770444,-73.863746,QUEENS
nysdec_state_facility_permits,2-6308-00709/00007,JFK AIRPORT - W SIDE & E BANK OF BERGEN BASIN,JFK AIRPORT - W SIDE & E BANK OF BERGEN BASIN,40.660242,-73.817591,ROSEDALE
nysdec_state_facility_permits,2-6102-00004/00006,722 COURT ST & GOWANUS CREEK,722 Court St,40.668982,-74.002694,BROOKLYN
nysdec_title_v_facility_permits,2-6101-01077/00003,N 1st St & River St,North 1st St & River St,40.717253,-73.965733,BROOKLYN
nysdec_title_v_facility_permits,2-6402-00295/00003,143 EDGEWATER ST|LYNHURST AVE & EDGEWATER ST,LYNHURST AVE & EDGEWATER ST,40.618649,-74.068209,STATEN ISLAND
nysdec_title_v_facility_permits,2-6102-00086/00011,53RD ST & FIRST AVE|4 WHALE SQUARE,4 WHALE SQUARE,40.6505,-74.023792,BROOKLYN
nysdec_title_v_facility_permits,2-6007-00726/00003,E 132ND ST & ROBERT F KENNEDY BRIDGE|688 E 132ND ST,688 EAST 132ND STREET,40.801148,-73.916098,BRONX
