type,borough,transit zone,day,type,occupancy
Local Retail,Brooklyn,,,auto,1.2
Local Retail,Brooklyn,,,taxi,1.2
Local Retail,Manhattan,NTZ,,auto,1.2
Local Retail,Manhattan,NTZ,,taxi,1.2
Local Retail,Queens,TZ,,auto,1.4
Local Retail,Queens,TZ,,taxi,1.4
Local Retail,Queens,NTZ,,auto,1.4
Local Retail,Queens,NTZ,,taxi,1.4
Local Retail,Bronx,TZ,,auto,2.1
Local Retail,Bronx,TZ,,taxi,2.1
Local Retail,Bronx,NTZ,,auto,2.1
Local Retail,Bronx,NTZ,,taxi,2.1
Local Retail,Staten Island,,,auto,1.6
Local Retail,Staten Island,,,taxi,1.6
Hotel (M1),Manhattan,TZ,weekday,auto,1.8
Hotel (M1),Manhattan,TZ,weekday,taxi,2
Hotel (M1),Manhattan,TZ,weekend,auto,2.1
Hotel (M1),Manhattan,TZ,weekend,taxi,2.3
Hotel (M1),Queens,TZ,weekday,auto,2
Hotel (M1),Queens,TZ,weekday,taxi,2.2
Hotel (M1),Queens,TZ,weekend,auto,2.2
Hotel (M1),Queens,TZ,weekend,taxi,2.7
Hotel (M1),Brooklyn,TZ,weekday,auto,2.1
Hotel (M1),Brooklyn,TZ,weekday,taxi,2.1
Hotel (M1),Brooklyn,TZ,weekend,auto,2.4
Hotel (M1),Brooklyn,TZ,weekend,taxi,2
Medical Office  < 15000,Brooklyn,TZ,,auto,1.5
Medical Office  < 15000,Brooklyn,TZ,,taxi,1.5
Medical Office  < 15000,Brooklyn,NTZ,,auto,1.5
Medical Office  < 15000,Brooklyn,NTZ,,taxi,1.5
Medical Office  < 15000,Manhattan,TZ,,auto,1.53
Medical Office  < 15000,Manhattan,TZ,,taxi,1.53
Medical Office  < 15000,Manhattan,NTZ,,auto,1.53
Medical Office  < 15000,Manhattan,NTZ,,taxi,1.53
Medical Office  < 15000,Queens,TZ,,auto,1.58
Medical Office  < 15000,Queens,TZ,,taxi,1.58
Medical Office  < 15000,Queens,NTZ,,auto,1.5
Medical Office  < 15000,Queens,NTZ,,taxi,1.5
Medical Office  < 15000,Bronx,TZ,,auto,1.6
Medical Office  < 15000,Bronx,TZ,,taxi,1.6
Medical Office  < 15000,Bronx,NTZ,,auto,1.5
Medical Office  < 15000,Bronx,NTZ,,taxi,1.5
Medical Office  < 15000,Staten Island,TZ,,auto,1.6
Medical Office  < 15000,Staten Island,TZ,,taxi,1.6
Medical Office  < 15000,Staten Island,NTZ,,auto,1.42
Medical Office  < 15000,Staten Island,NTZ,,taxi,1.42
Medical Office  > 15000,Brooklyn,TZ,,auto,1.5
Medical Office  > 15000,Brooklyn,TZ,,taxi,1.5
Medical Office  > 15000,Brooklyn,NTZ,,auto,1.5
Medical Office  > 15000,Brooklyn,NTZ,,taxi,1.5
Medical Office  > 15000,Manhattan,TZ,,auto,1.53
Medical Office  > 15000,Manhattan,TZ,,taxi,1.53
Medical Office  > 15000,Manhattan,NTZ,,auto,1.53
Medical Office  > 15000,Manhattan,NTZ,,taxi,1.53
Medical Office  > 15000,Queens,TZ,,auto,1.58
Medical Office  > 15000,Queens,TZ,,taxi,1.58
Medical Office  > 15000,Queens,NTZ,,auto,1.5
Medical Office  > 15000,Queens,NTZ,,taxi,1.5
Medical Office  > 15000,Bronx,TZ,,auto,1.6
Medical Office  > 15000,Bronx,TZ,,taxi,1.6
Medical Office  > 15000,Bronx,NTZ,,auto,1.5
Medical Office  > 15000,Bronx,NTZ,,taxi,1.5
Medical Office  > 15000,Staten Island,TZ,,auto,1.6
Medical Office  > 15000,Staten Island,TZ,,taxi,1.6
Medical Office  > 15000,Staten Island,NTZ,,auto,1.42
Medical Office  > 15000,Staten Island,NTZ,,taxi,1.42
