%AUDITORIUM%
%BASIN%
%BATHROOM%
%BOILER%
%BORING%
%BLVD%
%BRIDGE%
%BUILDING%
%BULKHEAD%
%CAFETERIA%
%CANAL%
%CEILING%
%CENTER%
%CLIMATE%
%CONSTRUCTION%
%COOLING%
%CULVERT%
%DAY CARE%
%DEPOT%
%ELECTRICAL%
%ELEVATOR%
%ESCALATOR%
%EXTERIOR%
%FACILITY%
%FENC%
%FIELD%
%FIXTURE%
%FLOOR%
%GARAGE%
%GARDEN%
%GREENWAY%
%GYM%
%HALL%
%HEATING%
%HOSPITAL%
%HOUSE%
%HVAC%
%INTERIOR%
%KITCHEN%
%LAB%
%LANDING%
%LIBRARY%
%LIGHTING%
%MASONRY%
%MILLING%
%MTS%
%MUSEUM%
%PARAPET%
%PARK%
%PIER%
%PIPE%
%PIPING%
%PLANT%
%PLAYGROUND%
%PLAZA%
%POOL%
%RAMP%
%RECON%
%REHAB%
%RENOVAT%
%REPLACE%
%RESTORATION%
%ROOF%
%ROOM%
%SEWER%
%SHELTER%
%SIDEWALK%
%SITE ACQ%
%SPRAY%BOOTH%
%STADIUM%
%STATION%
%STREET%
%TERMINAL%
%THEATER%
%TOILET%
%TUNNEL%
%VENTILATION%
%WASTE%
%WINDOW%
%WPC%
%WWTP%
%A/C%
%ACQ%
%ACQUISITION%
%AERATION%
%ADA%
%ADDITION%
%AIR%BOX%
%AIR%CON%
%ALARM%BOX%
%ANNEX%
%ARENA%
%ART%
%ASBESTOS%
%ASPHALT%
%ATRIUM%
%ATC%
%AQUARIUM%
%BACKFLOW%SYS%
%BARRIER%
%BOAT%LAUNCH%
%BIKEWAY%
%BIN%
%BIOSWALE%
%BLDG%
%BLDG%ACQ%
%BLUEBELT%
%BOARDWALK%
%BURNER%
%CABLING%
%CALL%BOX%
%CAMPUS%
%CAR%PORT%
%CATWALK%
%CEMETERY%
%CHAMBER%
%CHILLER%
%CLINIC%
%COMFORT%ST%
%COMPACTOR%
%COMPUTER%LAB%
%COMPUTER%ROOM%
%CONDUIT%
%CONSOLIDATION%
%CONSTRUCT%
%CONVERSION%
%CORRIDOR%
%COURT%
% CTS %
CTS %
% CTS
%CSO%
%DAM%
%DEMOLITION%
%DEVELOPMENT%
%DIGESTER%
%DIMMER%SYST%
%DOCK%
%DOG%RUN%
%DOOR%
%DORM%
%DUCT%
%EE%UPGRADE%
%EJECTOR%
%ELECTRIC%SYS%
%ELEC%UPGRADE%
%ENCLOS%
%ENERGY%UPGRADE%
%ENTRANCE%
%ENTRY
%ESPLANADE%
%EXHAUST%SYSTEM%
%EXHIBIT%
%EXPANSION%
%EXTENSION%
%FACADE%
%FACILIT%
%FIRE%ALAR%
%FIRE%SAFETY%
%FIRE%SYSTEM%
%FIRE%UPGRADE%
%FLAG%
%FOUNTAIN%
%GALLERY%
%GAS%
%GATE%
%GOLF%COURSE%
%GOVERNORS%ISLAND%
% GRAT%
%GUARDS%
%HEAT%
%HIGH%LINE%
%HOT%WATER%
%INFRASTRUCTURE%
%INSTALLATION%
%INTERCONNECTION%
%IRRIGATION%
%LAMP%
%LAWNS%
%LEASE%RENEW%
%LIGHTS%
%LIGHTPOLE%
%LOCAL%LAW%11%
%LOUNGE%
%MARINA%
%MEDIAN%
%MICROFILTRATION%
%MODERNIZATION%
% MOVE %
%NEW%BRANCH%
NDF%
%OBSERVATORY%
%OFFICES%
%OUTDOOR%SPACE%
%OUTFITTIN%
%OUT-FITTIN%
%OVERPASS%
%PASSIVE%LANDSCAPE%
%PATH%
%PAVEMENT%
% PEN %
%PEDESTALS%
%PLDG%
%PLGD%
%PLGRD%
%PLYG%
%PRINTSHOP%
%PROMENADE%
%PUMP%
%PV PANELS%
%REFURB%
%RELOCAT%
%REMOVAL%
%RENO%
%REPAIR%SHOP%
%REP% WM %
%RESTITUTION%
%RESURFACING%
%RETAINING%WALL%
%RETRO%FIT%
%RIDING%RING%
%RINK%
%RD%IMPROVEMENT%
%ROAD%IMPROVEMENT%
%ROAD%WIDE%
%ROPE%
%SCHOOLYARDS%
%SBS %
% SBS%
%SEAT %
%SEATING%
%SECURITY%INSTALL%
%SECURITY%SYS%
%SECURITY%UPG%
%SHAFT%
%SHED%
%SHORELINE%
%SHOWER%
%SIGN%
%SKATE P%
%SKYLIGHT%
%SMOKE%SYSTEM%
%SOLAR%PHOTO%
%SOLAR%PV%
%SPACE%
%SOCCER%
%SPORT%AREA%
%SPORT%COMPLEX%
%SPACE%IMPRO%
%SPRINKLER%
%STABILIZATION%
%STAGE%
%STAIR%
%STAIRCASE%
%STEAM%
%STM%SWR%
%STORM%SWR%
%STORAGE%
%STRM%SWR%
%STRUCTURE%
%STUDIO%
%SWING%
%SWR%
%TANK%
%TOW%POUND%
%TOWER%
%TRAIL%
%TRNG%RM%
%TRUNK%
%TURNSTILE%
%UNDERGROUND%
%UNDERPASS%
%VALVE%
% WALL%
%WAREHOUSE%
%WATER%MAIN%
%WATER%TOWER%
%WAYFINDING%
%WEIR%
%WETLAND%
%WIDENING%
%WIER%
%WING%
%WORKSPACE%
% WMS %
%WM%REPL%
%YACHT%CLUB%
%YARD%
%YMCA%
%YWHA%
%ZOO%
