facdb_level,facdb_agencyname_revised,facdb_agencyname,facdb_agencyabbrev,cape_agencycode,cape_agencyacronym,cape_agency,agency_class
City,City University of New York,City University of New York,CUNY,042,CUNY,City University of New York,City University of New York             
City,NYC Administration for Childrens Services,New York City Administration for Childrens Services,NYCACS,130,ACS,Administration for Childrens Services,Department of Juvenile Justice          
City,NYC Administration for Childrens Services,New York City Administration for Childrens Services,NYCACS,068,ACS,Administration for Childrens Services,Admin for Children's Services           
City,NYC Board of Elections,New York City Board of Elections,NYCBOE,003,BOE,Board of Elections,Board of Elections                      
City,NYC Board of Standards and Appeals,New York City Board of Standards and Appeals,NYCBSA,059,BSA,Board of Standards and Appeals,Board of Standards & Appeals            
City,NYC Borough President - Bronx,New York City Borough President - Bronx,NYCBP-BX,011,BP-BX,Borough President - Bronx,Borough President Bronx                 
City,NYC Borough President - Brooklyn,New York City Borough President - Brooklyn,NYCBP-BK,012,BP-BK,Borough President - Brooklyn,Borough President - Brooklyn            
City,NYC Borough President - Manhattan,New York City Borough President - Manhattan,NYCBP-MN,010,BP-MN,Borough President - Manhattan,Borough President - Manhattan           
City,NYC Borough President - Queens,New York City Borough President - Queens,NYCBP-QN,013,BP-QN,Borough President - Queens,Borough President - Queens              
City,NYC Borough President - Staten Island,New York City Borough President - Staten Island,NYCBP-SI,014,BP-SI,Borough President - Staten Island,Borough President Staten Island         
City,NYC Business Integrity Commission,New York City Business Integrity Commission,NYCBIC,829,BIC,Business Integrity Commission,Business Integrity Commission           
City,NYC Campaign Finance Board,New York City Campaign Finance Board,NYCCFB,004,CFB,Campaign Finance Board,Campaign Finance Board                  
City,NYC Center for Economic Opportunity,New York City Center for Economic Opportunity,NYCCEO,,CEO,Center for Economic Opportunity,
City,NYC Civilian Complaint Review Board,New York City Civilian Complaint Review Board,NYCCCRB,054,CCRB,Civilian Complaint Review Board,Civilian Complaint Review Board         
City,NYC Civil Service Commission,New York City Civil Service Commission,NYCCSC,134,CSC,Civil Service Commission,Civil Service Commission                
City,NYC Commission on Human Rights,New York City Commission on Human Rights,NYCCCHR,226,CCHR,Commission on Human Rights,Commission on Human Rights              
City,NYC Manhattan Community Board 1,New York City Community Board 101,NYCCB101,341,CB101,Community Board 101,Manhattan Community Board #1            
City,NYC Manhattan Community Board 2,New York City Community Board 102,NYCCB102,342,CB102,Community Board 102,Manhattan Community Board #2            
City,NYC Manhattan Community Board 3,New York City Community Board 103,NYCCB103,343,CB103,Community Board 103,Manhattan Community Board #3            
City,NYC Manhattan Community Board 4,New York City Community Board 104,NYCCB104,344,CB104,Community Board 104,Manhattan Community Board #4            
City,NYC Manhattan Community Board 5,New York City Community Board 105,NYCCB105,345,CB105,Community Board 105,Manhattan Community Board #5            
City,NYC Manhattan Community Board 6,New York City Community Board 106,NYCCB106,346,CB106,Community Board 106,Manhattan Community Board #6            
City,NYC Manhattan Community Board 7,New York City Community Board 107,NYCCB107,347,CB107,Community Board 107,Manhattan Community Board #7            
City,NYC Manhattan Community Board 8,New York City Community Board 108,NYCCB108,348,CB108,Community Board 108,Manhattan Community Board #8            
City,NYC Manhattan Community Board 9,New York City Community Board 109,NYCCB109,349,CB109,Community Board 109,Manhattan Community Board #9            
City,NYC Manhattan Community Board 10,New York City Community Board 110,NYCCB110,350,CB110,Community Board 110,Manhattan Community Board #10           
City,NYC Manhattan Community Board 11,New York City Community Board 111,NYCCB111,351,CB111,Community Board 111,Manhattan Community Board #11           
City,NYC Manhattan Community Board 12,New York City Community Board 112,NYCCB112,352,CB112,Community Board 112,Manhattan Community Board #12           
City,NYC Bronx Community Board 1,New York City Community Board 201,NYCCB201,381,CB201,Community Board 201,Bronx Community Board #1                
City,NYC Bronx Community Board 2,New York City Community Board 202,NYCCB202,382,CB202,Community Board 202,Bronx Community Board #2                
City,NYC Bronx Community Board 3,New York City Community Board 203,NYCCB203,383,CB203,Community Board 203,Bronx Community Board #3                
City,NYC Bronx Community Board 4,New York City Community Board 204,NYCCB204,384,CB204,Community Board 204,Bronx Community Board #4                
City,NYC Bronx Community Board 5,New York City Community Board 205,NYCCB205,385,CB205,Community Board 205,Bronx Community Board #5                
City,NYC Bronx Community Board 6,New York City Community Board 206,NYCCB206,386,CB206,Community Board 206,Bronx Community Board #6                
City,NYC Bronx Community Board 7,New York City Community Board 207,NYCCB207,387,CB207,Community Board 207,Bronx Community Board #7                
City,NYC Bronx Community Board 8,New York City Community Board 208,NYCCB208,388,CB208,Community Board 208,Bronx Community Board #8                
City,NYC Bronx Community Board 9,New York City Community Board 209,NYCCB209,389,CB209,Community Board 209,Bronx Community Board #9                
City,NYC Bronx Community Board 10,New York City Community Board 210,NYCCB210,390,CB210,Community Board 210,Bronx Community Board #10               
City,NYC Bronx Community Board 11,New York City Community Board 211,NYCCB211,391,CB211,Community Board 211,Bronx Community Board #11               
City,NYC Bronx Community Board 12,New York City Community Board 212,NYCCB212,392,CB212,Community Board 212,Bronx Community Board #12               
City,NYC Brooklyn Community Board 1,New York City Community Board 301,NYCCB301,471,CB301,Community Board 301,Brooklyn Community Board #1             
City,NYC Brooklyn Community Board 2,New York City Community Board 302,NYCCB302,472,CB302,Community Board 302,Brooklyn Community Board #2             
City,NYC Brooklyn Community Board 3,New York City Community Board 303,NYCCB303,473,CB303,Community Board 303,Brooklyn Community Board #3             
City,NYC Brooklyn Community Board 4,New York City Community Board 304,NYCCB304,474,CB304,Community Board 304,Brooklyn Community Board #4             
City,NYC Brooklyn Community Board 5,New York City Community Board 305,NYCCB305,475,CB305,Community Board 305,Brooklyn Community Board #5             
City,NYC Brooklyn Community Board 6,New York City Community Board 306,NYCCB306,476,CB306,Community Board 306,Brooklyn Community Board #6             
City,NYC Brooklyn Community Board 7,New York City Community Board 307,NYCCB307,477,CB307,Community Board 307,Brooklyn Community Board #7             
City,NYC Brooklyn Community Board 8,New York City Community Board 308,NYCCB308,478,CB308,Community Board 308,Brooklyn Community Board #8             
City,NYC Brooklyn Community Board 9,New York City Community Board 309,NYCCB309,479,CB309,Community Board 309,Brooklyn Community Board #9             
City,NYC Brooklyn Community Board 10,New York City Community Board 310,NYCCB310,480,CB310,Community Board 310,Brooklyn Community Board #10            
City,NYC Brooklyn Community Board 11,New York City Community Board 311,NYCCB311,481,CB311,Community Board 311,Brooklyn Community Board #11            
City,NYC Brooklyn Community Board 12,New York City Community Board 312,NYCCB312,482,CB312,Community Board 312,Brooklyn Community Board #12            
City,NYC Brooklyn Community Board 13,New York City Community Board 313,NYCCB313,483,CB313,Community Board 313,Brooklyn Community Board #13            
City,NYC Brooklyn Community Board 14,New York City Community Board 314,NYCCB314,484,CB314,Community Board 314,Brooklyn Community Board #14            
City,NYC Brooklyn Community Board 15,New York City Community Board 315,NYCCB315,485,CB315,Community Board 315,Brooklyn Community Board #15            
City,NYC Brooklyn Community Board 16,New York City Community Board 316,NYCCB316,486,CB316,Community Board 316,Brooklyn Community Board #16            
City,NYC Brooklyn Community Board 17,New York City Community Board 317,NYCCB317,487,CB317,Community Board 317,Brooklyn Community Board #17            
City,NYC Brooklyn Community Board 18,New York City Community Board 318,NYCCB318,488,CB318,Community Board 318,Brooklyn Community Board #18            
City,NYC Queens Community Board 1,New York City Community Board 401,NYCCB401,431,CB401,Community Board 401,Queens Community Board #1               
City,NYC Queens Community Board 2,New York City Community Board 402,NYCCB402,432,CB402,Community Board 402,Queens Community Board #2               
City,NYC Queens Community Board 3,New York City Community Board 403,NYCCB403,433,CB403,Community Board 403,Queens Community Board #3               
City,NYC Queens Community Board 4,New York City Community Board 404,NYCCB404,434,CB404,Community Board 404,Queens Community Board #4               
City,NYC Queens Community Board 5,New York City Community Board 405,NYCCB405,435,CB405,Community Board 405,Queens Community Board #5               
City,NYC Queens Community Board 6,New York City Community Board 406,NYCCB406,436,CB406,Community Board 406,Queens Community Board #6               
City,NYC Queens Community Board 7,New York City Community Board 407,NYCCB407,437,CB407,Community Board 407,Queens Community Board #7               
City,NYC Queens Community Board 8,New York City Community Board 408,NYCCB408,438,CB408,Community Board 408,Queens Community Board #8               
City,NYC Queens Community Board 9,New York City Community Board 409,NYCCB409,439,CB409,Community Board 409,Queens Community Board #9               
City,NYC Queens Community Board 10,New York City Community Board 410,NYCCB410,440,CB410,Community Board 410,Queens Community Board #10              
City,NYC Queens Community Board 11,New York City Community Board 411,NYCCB411,441,CB411,Community Board 411,Queens Community Board #11              
City,NYC Queens Community Board 12,New York City Community Board 412,NYCCB412,442,CB412,Community Board 412,Queens Community Board #12              
City,NYC Queens Community Board 13,New York City Community Board 413,NYCCB413,443,CB413,Community Board 413,Queens Community Board #13              
City,NYC Queens Community Board 14,New York City Community Board 414,NYCCB414,444,CB414,Community Board 414,Queens Community Board #14              
City,NYC Staten Island Community Board 1,New York City Community Board 501,NYCCB501,491,CB501,Community Board 501,Staten Island Community Board #1        
City,NYC Staten Island Community Board 2,New York City Community Board 502,NYCCB502,492,CB502,Community Board 502,Staten Island Community Board #2        
City,NYC Staten Island Community Board 3,New York City Community Board 503,NYCCB503,493,CB503,Community Board 503,Staten Island Community Board #3        
City,NYC Conflict of Interest Board,New York City Conflict of Interest Board,NYCCOIB,312,COIB,Conflict of Interest Board,Conflicts of Interest Board             
City,NYC City Council,New York City Council,NYCCOUNCIL,102,COUNCIL,Council,City Council                            
City,NYC Department for the Aging,New York City Department for the Aging,NYCDFTA,125,DFTA,Department for the Aging,Department for the Aging                
City,NYC Department of Buildings,New York City Department of Buildings,NYCDOB,810,DOB,Department of Buildings,Department of Buildings                 
City,NYC Department of City Planning,New York City Department of City Planning,NYCDCP,030,DCP,Department of City Planning,Department of City Planning             
City,NYC Department of Citywide Administrative Services,New York City Department of Citywide Administrative Services,NYCDCAS,031,DCAS,Department of Citywide Administrative Services,Department of Personnel                 
City,NYC Department of Citywide Administrative Services,New York City Department of Citywide Administrative Services,NYCDCAS,857,DCAS,Department of Citywide Administrative Services,DCAS Division of Municipal Supply Service
City,NYC Department of Citywide Administrative Services,New York City Department of Citywide Administrative Services,NYCDCAS,856,DCAS,Department of Citywide Administrative Services,Department of Citywide Admin Service    
City,NYC Department of Consumer & Worker Protection,New York City Department of Consumer & Worker Protection,NYCDCWP,866,DCWP,Department of Consumer & Worker Protection,Dept of Consumer & Worker Protection    
City,NYC Department of Correction,New York City Department of Correction,NYCDOC,072,DOC,Department of Correction,Department of Correction                
City,NYC Department of Cultural Affairs,New York City Department of Cultural Affairs,NYCDCLA,126,DCLA,Department of Cultural Affairs,Department of Cultural Affairs          
City,NYC Department of Design and Construction,New York City Department of Design and Construction,NYCDDC,850,DDC,Department of Design and Construction,Department of Design & Construction     
City,NYC Department of Education,New York City Department of Education,NYCDOE,040,DOE,Department of Education,Department of Education                 
City,NYC Department of Environmental Protection,New York City Department of Environmental Protection,NYCDEP,085,DEP,Department of Environmental Protection,Water Supply                            
City,NYC Department of Environmental Protection,New York City Department of Environmental Protection,NYCDEP,826,DEP,Department of Environmental Protection,Department of Environmental Protect.    
City,NYC Department of Finance,New York City Department of Finance,NYCDOF,836,DOF,Department of Finance,Department of Finance                   
City,NYC Department of Health and Mental Hygiene,New York City Department of Health and Mental Hygiene,NYCDOH,672,DOH,Department of Health and Mental Hygiene,Health Services - Capital               
City,NYC Department of Health and Mental Hygiene,New York City Department of Health and Mental Hygiene,NYCDOH,816,DOH,Department of Health and Mental Hygiene,Department of Health and Mental Hygiene 
City,NYC Department of Health and Mental Hygiene,New York City Department of Health and Mental Hygiene,NYCDOH,817,DOH,Department of Health and Mental Hygiene,Department of Mental Health             
City,NYC Department of Homeless Services,New York City Department of Homeless Services,NYCDHS,071,DHS,Department of Homeless Services,Department of Homeless Services         
City,NYC Department of Housing Preservation and Development,New York City Department of Housing Preservation and Development,NYCHPD,806,HPD,Department of Housing Preservation and Development,Housing Preservation and Development    
City,NYC Department of Information Technology and Telecommunications,New York City Department of Information Technology and Telecommunications,NYCOTI,858,OTI,Office of Technology and Innovation,Department of Info Tech & Telecomm      
City,NYC Department of Information Technology and Telecommunications,New York City Department of Information Technology and Telecommunications,NYCOTI,137,OTI,Office of Technology and Innovation,Department of Telecommunications        
City,NYC Department of Investigation,New York City Department of Investigation,NYCDOI,032,DOI,Department of Investigation,Department of Investigation             
City,NYC Department of Parks and Recreation,New York City Department of Parks and Recreation,NYCDPR,846,DPR,Department of Parks and Recreation,Department of Parks and Recreation      
City,NYC Department of Parks and Recreation,New York City Department of Parks and Recreation,NYCDPR,055,DPR,Department of Parks and Recreation,Department of Parks-Capital             
City,NYC Department of Probation,New York City Department of Probation,NYCDOP,781,DOP,Department of Probation,Department of Probation                 
City,NYC Department of Records and Information Services,New York City Department of Records and Information Services,NYCDORIS,860,DORIS,Department of Records and Information Services,Department of Records & Information Svs 
City,NYC Department of Sanitation,New York City Department of Sanitation,NYCDSNY,827,DSNY,Department of Sanitation,Department of Sanitation                
City,NYC Department of Sanitation,New York City Department of Sanitation,NYCDSNY,066,DSNY,Department of Sanitation,Department of Sanitation-Capital        
City,NYC Department of Small Business Services,New York City Department of Small Business Services,NYCSBS,801,SBS,Department of Small Business Services,Department of Small Business Services   
City,NYC Department of Social Services,New York City Department of Social Services,NYCDSS,069,DSS,Department of Social Services,Department of Social Services           
City,NYC Department of Transportation,New York City Department of Transportation,NYCDOT,841,DOT,Department of Transportation,Department of Transportation            
City,NYC Department of Youth and Community Development,New York City Department of Youth and Community Development,NYCDYCD,260,DYCD,Department of Youth and Community Development,Department of Youth & Community Dev     
City,NYC District Attorney - Bronx ,New York City District Attorney - Bronx ,NYCDA-BX,902,DA-BX,District Attorney - Bronx ,District Attorney Bronx County          
City,NYC District Attorney - Brooklyn,New York City District Attorney - Brooklyn,NYCDA-BK,903,DA-BK,District Attorney - Brooklyn,District Attorney Kings County          
City,NYC District Attorney - Manhattan,New York City District Attorney - Manhattan,NYCDA-MN,901,DA-MN,District Attorney - Manhattan,District Attorney New York County       
City,NYC District Attorney - Office Special Narcotics,New York City District Attorney - Office Special Narcotics,NYCDA-SNP,906,DA-SNP,District Attorney - Office Special Narcotics,Office of Prosecution Spec Narco        
City,NYC District Attorney - Queens,New York City District Attorney - Queens,NYCDA-QN,904,DA-QN,District Attorney - Queens,District Attorney Queens County         
City,NYC District Attorney - Staten Island,New York City District Attorney - Staten Island,NYCDA-SI,905,DA-SI,District Attorney - Staten Island,District Attorney Richmond County       
City,NYC Fire Department,New York City Fire Department,NYCFDNY,057,FDNY,Fire Department,Fire Department                         
City,NYC Health and Hospitals Corporation,New York City Health and Hospitals Corporation,NYCHHC,819,HHC,Health and Hospitals Corporation,Health and Hospitals Corp               
City,NYC Independent Budget Office,New York City Independent Budget Office,NYCIBO,132,IBO,Independent Budget Office,Independent Budget Office               
City,NYC Landmarks Preservation Commission,New York City Landmarks Preservation Commission,NYCLPC,136,LPC,Landmarks Preservation Commission,Landmarks Preservation Comm.            
City,NYC Law Department,New York City Law Department,NYCLAW,025,LAW,Law Department,Law Department                          
City,NYC Office of Administrative Trials and Hearings,New York City Office of Administrative Trials and Hearings,NYCOATH,820,OATH,Office of Administrative Trials and Hearings,Office of Admin Trials & Hearings       
City,NYC Office of Collective Bargaining,New York City Office of Collective Bargaining,NYCOCB,313,OCB,Office of Collective Bargaining,Office of Collective Bargaining         
City,NYC Office of Court Administration,New York City Office of Court Administration,NYCOCA,,OCA,Office of Court Administration,
City,NYC Office of Emergency Management,New York City Office of Emergency Management,NYCEM,017,EM,Office of Emergency Management,Department of Emergency Management      
City,NYC Office of Labor Relations,New York City Office of Labor Relations,NYCOLR,,OLR,Office of Labor Relations,
City,NYC Office of Management and Budget,New York City Office of Management and Budget,NYCOMB,019,OMB,Office of Management and Budget,Office of Management and Budget
City,NYC Office of Payroll Administration,New York City Office of Payroll Administration,NYCOPA,131,OPA,Office of Payroll Administration,Office of Payroll Administration        
City,NYC Office of Public Advocate,New York City Office of Public Advocate,NYCPA,101,PA,Office of Public Advocate,Public Advocate                         
