facsubgrp, facgroup,facdomain,servarea
Camps,Camps,"Education, Child Welfare, and Youth",Local
Day Care,Day Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",Local
DOE Universal Pre-Kindergarten,Day Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",Local
Dual Child Care and Universal Pre-K,Day Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",Local
Preschools for Students with Disabilities,Day Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",Local
Child Nutrition,Child Services and Welfare,"Education, Child Welfare, and Youth",Local
School-Based Food Services,Child Services and Welfare,"Education, Child Welfare, and Youth",Local
Foster Care Services and Residential Care,Child Services and Welfare,"Education, Child Welfare, and Youth",Regional
"Preventative Care, Evaluation Services, and Respite",Child Services and Welfare,"Education, Child Welfare, and Youth",Local
Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",Regional
Non-Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",Local
Other Schools Serving Students with Disabilities,Schools (K-12),"Education, Child Welfare, and Youth",Local
Public and Private Special Education Schools,Schools (K-12),"Education, Child Welfare, and Youth",Local
Charter K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",Local
Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",Local
Proprietary Schools,Vocational and Proprietary Schools,"Education, Child Welfare, and Youth",Local
GED and Alternative High School Equivalency,Schools (K-12),"Education, Child Welfare, and Youth",Local
After-School Programs,Youth Services,"Education, Child Welfare, and Youth",Local
"Youth Centers, Literacy Programs, and Job Training Services",Youth Services,"Education, Child Welfare, and Youth",Local
Adult and Immigrant Literacy,Adult Services,"Education, Child Welfare, and Youth",Local
Historical Sites,Historical Sites,"Parks, Gardens, and Historical Sites",Local
Cemeteries,Parks and Plazas,"Parks, Gardens, and Historical Sites",Local
Gardens,Parks and Plazas,"Parks, Gardens, and Historical Sites",Local
Privately Owned Public Space,Parks and Plazas,"Parks, Gardens, and Historical Sites",Local
Parks,Parks and Plazas,"Parks, Gardens, and Historical Sites",Local
Undeveloped,Parks and Plazas,"Parks, Gardens, and Historical Sites",Local
Preserves and Conservation Areas,Parks and Plazas,"Parks, Gardens, and Historical Sites",Regional
Recreation and Waterfront Sites,Parks and Plazas,"Parks, Gardens, and Historical Sites",Local
"Streetscapes, Plazas, and Malls",Parks and Plazas,"Parks, Gardens, and Historical Sites",Local
Historical Societies,Cultural Institutions,Libraries and Cultural Programs,Regional
Museums,Cultural Institutions,Libraries and Cultural Programs,Regional
Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,Regional
Academic and Special Libraries,Libraries,Libraries and Cultural Programs,Regional
Public Libraries,Libraries,Libraries and Cultural Programs,Local
Fire Services,Emergency Services,"Public Safety, Emergency Services, and Administration of Justice",Local
Other Emergency Services,Emergency Services,"Public Safety, Emergency Services, and Administration of Justice",Local
Courthouses and Judicial,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",Regional
Detention and Correctional,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",Regional
Other Public Safety,Public Safety,"Public Safety, Emergency Services, and Administration of Justice",Local
Police Services,Public Safety,"Public Safety, Emergency Services, and Administration of Justice",Local
School-Based Safety Program,Public Safety,"Public Safety, Emergency Services, and Administration of Justice",Local
Substance Use Disorder Treatment Programs,Health Care,Health and Human Services,Regional
Health Promotion and Disease Prevention,Health Care,Health and Human Services,Regional
Hospitals and Clinics,Health Care,Health and Human Services,Regional
Mental Health,Health Care,Health and Human Services,Regional
Other Health Care,Health Care,Health and Human Services,Regional
Residential Health Care,Health Care,Health and Human Services,Regional
Community Centers and Community Programs,Human Services,Health and Human Services,Local
Financial Assistance and Social Services,Human Services,Health and Human Services,Local
Legal and Intervention Services,Human Services,Health and Human Services,Local
