dob_occ,occ
.RES,Residential: Not Specified (.RES)
A,Industrial: High Hazard (A)
27,Industrial: High Hazard (A)
A-1,"Assembly: Theaters, Churches (A-1)"
1,"Assembly: Theaters, Churches (A-1)"
A-2,Assembly: Eating & Drinking (A-2)
2,Assembly: Eating & Drinking (A-2)
3,Assembly: Eating & Drinking (A-2)
A-3,Assembly: Other (A-3)
4,Assembly: Other (A-3)
A-4,Assembly: Indoor Sports (A-4)
5,Assembly: Indoor Sports (A-4)
A-5,Assembly: Outdoors (A-5)
6,Assembly: Outdoors (A-5)
B,Commercial: Offices (B)
7,Commercial: Offices (B)
B-1,Storage: Moderate Hazard (B-1)
28,Storage: Moderate Hazard (B-1)
B-2,Storage: Low Hazard (B-2)
29,Storage: Low Hazard (B-2)
C,Commercial: Retail (C)
30,Commercial: Retail (C)
COM,Commercial: Not Specified (COM)
50,Commercial: Not Specified (COM)
D-1,Industrial: Moderate Hazard (D-1)
31,Industrial: Moderate Hazard (D-1)
D-2,Industrial: Low Hazard (D-2)
32,Industrial: Low Hazard (D-2)
E,Unknown (E)
9,Unknown (E)
33,Unknown (E)
F-1,Industrial: Moderate Hazard (F-1)
9,Industrial: Moderate Hazard (F-1)
F-1A,"Assembly: Theaters, Churches (F-1A)"
34,"Assembly: Theaters, Churches (F-1A)"
F-1B,"Assembly: Theaters, Churches (F-1B)"
35,"Assembly: Theaters, Churches (F-1B)"
F-2,Unknown (F-2)
36,Assembly: Outdoors (F-2)
10,Industrial: Low Hazard (F-2)
F-3,Assembly: Museums (F-3)
37,Assembly: Museums (F-3)
F-4,Assembly: Eating & Drinking (F-4)
38,Assembly: Eating & Drinking (F-4)
39,Assembly: Eating & Drinking (F-4)
G,Educational (G)
8,Educational (E)
40,Educational (G)
H-1,Unknown (H-1)
H-2,Unknown (H-2)
11,Industrial: High Hazard (H-1)
12,Industrial: High Hazard (H-2)
H-3,Industrial: High Hazard (H-3)
13,Industrial: High Hazard (H-3)
H-4,Industrial: High Hazard (H-4)
14,Industrial: High Hazard (H-4)
H-5,Industrial: High Hazard (H-5)
15,Industrial: High Hazard (H-5)
41,Institutional: Restrained (H-1)
42,Institutional: Incapacitated(H-2)
I-1,Institutional: Assisted Living (I-1)
16,Institutional: Assisted Living (I-1)
I-2,Institutional: Incapacitated (I-2)
17,Institutional: Incapacitated (I-2)
I-3,Institutional: Restrained (I-3)
18,Institutional: Restrained (I-3)
I-4,Institutional: Day Care (I-4)
19,Institutional: Day Care (I-4)
J-0,Residential: 3 or More Units (J-0)
J-1,"Residential: Hotels, Dormitories (J-1)"
43,"Residential: Hotels, Dormitories (J-1)"
J-2,Residential: 3 or More Units (J-2)
44,Residential: 3 or More Units (J-2)
45,Residential: 3 or More Units (J-2)
J-3,Residential: 1-2 Family Houses (J-3)
46,Residential: 1-2 Family Houses (J-3)
K,Miscellaneous (K)
47,Miscellaneous (K)
M,Commercial: Retail (M)
20,Commercial: Retail (M)
NC,Residential: 3 or More Units (NC)
PUB,Assembly: Other (PUB)
48,Assembly: Other (PUB)
R-1,"Residential: Hotels, Dormitories (R-1)"
21,"Residential: Hotels, Dormitories (R-1)"
R-2,Residential: 3 or More Units (R-2)
22,Residential: 3 or More Units (R-2)
R-3,Residential: 1-2 Family Houses (R-3)
23,Residential: 1-2 Family Houses (R-3)
RES,Residential: Not Specified (RES)
49,Residential: Not Specified (RES)
S-1,Storage: Moderate Hazard (S-1)
24,Storage: Moderate Hazard (S-1)
S-2,Storage: Low Hazard (S-2)
25,Storage: Low Hazard (S-2)
U,Miscellaneous (U)
26,Miscellaneous (U)
