field_number,field_label,field_length,start_index,end_index,formatting
L1,Borough,1,1,1,Digit > 0
L2,Face Code,4,2,5,RJZF
L3,Sequence Number,5,6,10,RJZF
L4,Segment ID,7,11,17,RJZF
L5,5-Digit Street Code (5SC),5,18,22,RJZF
L6,LGC1,2,23,24,RJZF
L7,LGC2,2,25,26,RJZF - blank if none
L8,LGC3,2,27,28,RJZF - blank if none
L9,LGC4,2,29,30,RJZF - blank if none
L10,Board of Elections LGC Pointer,1,31,31,Blank if none
L11,From-Sectional Map,2,32,33,RJZF
L12,From-Node ID,7,34,40,RJZF
L13,From-X Coordinate,7,41,47,RJZF
L14,From-Y Coordinate,7,48,54,RJZF
L15,To-Sectional Map,2,55,56,RJZF
L16,To-Node ID,7,57,63,RJZF
L17,To-X Coordinate,7,64,70,RJZF
L18,To-Y Coordinate,7,71,77,RJZF
L19,Left 2000 Census Tract,6,78,83,See Sec. 1.4
L20,Left Dynamic Block,3,84,86,RJZF or blank if none
L21,Left Low House Number,7,87,93,See Sec. 1.4
L22,Left High House Number,7,94,100,See Sec. 1.4
L23,Left Dept of Sanitation Subsection,2,101,102,RJZF - blank if none
L24,Left Zip Code,5,103,107,Blank if none
L25,Left Assembly District,2,108,109,RJZF - blank if none
L26,Left Election District,3,110,112,RJZF - blank if none
L27,Left School District,2,113,114,RJZF - blank if none
L28,Right 2000 Census Tract,6,115,120,See Sec. 1.4
L29,Right Dynamic Block,3,121,123,RJZF - blank if none
L30,Right Low House Number,7,124,130,See Sec. 1.4
L31,Right High House Number,7,131,137,See Sec. 1.4
L32,Right Dept of Sanitation Subsection,2,138,139,RJZF - blank if none
L33,Right Zip Code,5,140,144,Blank if none
L34,Right Assembly District,2,145,146,RJZF - blank if none
L35,Right Election District,3,147,149,RJZF - blank if none
L36,Right School District,2,150,151,RJZF - blank if none
L37,Split Election District Flag,1,152,152,Blank if none
L38,Filler (formerly Split Community School District Flag),1,153,153,Blank
L39,Sanitation District Boundary Indicator,1,154,154,Blank if none
L40,Traffic Direction,1,155,155,Blank if none
