OBJECTID,boro,bctcb2020,cenblock20
1,Manhattan,10002011000,360610000000000
2,Manhattan,10002012001,360610000000000
3,Manhattan,10002021000,360610000000000
4,Manhattan,10002024000,360610000000000
5,Manhattan,10002026003,360610000000000
6,Manhattan,10005001001,360610000000000
7,Manhattan,10005001003,360610000000000
8,Manhattan,10005001005,360610000000000
9,Manhattan,10005001007,360610000000000
10,Manhattan,10005001010,360610000000000
11,Manhattan,10005001011,360610000000000
12,Manhattan,10005001013,360610000000000
13,Manhattan,10005001015,360610000000000
14,Manhattan,10005001016,360610000000000
15,Manhattan,10005001020,360610000000000
16,Manhattan,10005001024,360610000000000
17,Manhattan,10005001027,360610000000000
18,Manhattan,10005001029,360610000000000
19,Manhattan,10006001000,360610000000000
20,Manhattan,10006001001,360610000000000
21,Manhattan,10006001002,360610000000000
22,Manhattan,10006002003,360610000000000
23,Manhattan,10006003000,360610000000000
24,Manhattan,10006003001,360610000000000
25,Manhattan,10006004000,360610000000000
26,Manhattan,10006004001,360610000000000
27,Manhattan,10006005000,360610000000000
28,Manhattan,10006006000,360610000000000
29,Manhattan,10007001000,360610000000000
30,Manhattan,10007001001,360610000000000
31,Manhattan,10007001002,360610000000000
32,Manhattan,10007001003,360610000000000
33,Manhattan,10007001004,360610000000000
34,Manhattan,10007003000,360610000000000
35,Manhattan,10007004003,360610000000000
36,Manhattan,10007004004,360610000000000
37,Manhattan,10007005000,360610000000000
38,Manhattan,10007005001,360610000000000
39,Manhattan,10007006000,360610000000000
40,Manhattan,10007006001,360610000000000
41,Manhattan,10007006002,360610000000000
42,Manhattan,10007007000,360610000000000
43,Manhattan,10007007001,360610000000000
44,Manhattan,10007007002,360610000000000
45,Manhattan,10007007003,360610000000000
46,Manhattan,10007007004,360610000000000
47,Manhattan,10007007005,360610000000000
48,Manhattan,10007007006,360610000000000
49,Manhattan,10007007007,360610000000000
50,Manhattan,10007007008,360610000000000
51,Manhattan,10008001001,360610000000000
52,Manhattan,10008002000,360610000000000
53,Manhattan,10008003000,360610000000000
54,Manhattan,10008004000,360610000000000
55,Manhattan,10008005003,360610000000000
56,Manhattan,10008006001,360610000000000
57,Manhattan,10008006003,360610000000000
58,Manhattan,10008006006,360610000000000
59,Manhattan,10008006009,360610000000000
60,Manhattan,10008006010,360610000000000
61,Manhattan,10008006014,360610000000000
62,Manhattan,10008006016,360610000000000
63,Manhattan,10008006017,360610000000000
64,Manhattan,10008006019,360610000000000
65,Manhattan,10009001000,360610000000000
66,Manhattan,10009001001,360610000000000
67,Manhattan,10009001002,360610000000000
68,Manhattan,10009001003,360610000000000
69,Manhattan,10009001004,360610000000000
70,Manhattan,10009001005,360610000000000
71,Manhattan,10009001006,360610000000000
72,Manhattan,10009001009,360610000000000
73,Manhattan,10009001010,360610000000000
74,Manhattan,10009001011,360610000000000
75,Manhattan,10009001012,360610000000000
76,Manhattan,10009001013,360610000000000
77,Manhattan,10009001014,360610000000000
78,Manhattan,10009001015,360610000000000
79,Manhattan,10009001016,360610000000000
80,Manhattan,10009001017,360610000000000
81,Manhattan,10009001018,360610000000000
82,Manhattan,10009001019,360610000000000
83,Manhattan,10009001020,360610000000000
84,Manhattan,10009001022,360610000000000
85,Manhattan,10009001023,360610000000000
86,Manhattan,10010011014,360610000000000
87,Manhattan,10010021000,360610000000000
88,Manhattan,10010021001,360610000000000
89,Manhattan,10010022000,360610000000000
90,Manhattan,10010022001,360610000000000
91,Manhattan,10010024000,360610000000000
92,Manhattan,10010025000,360610000000000
93,Manhattan,10012001000,360610000000000
94,Manhattan,10012001009,360610000000000
95,Manhattan,10012001011,360610000000000
