daps_b5sc,daps_street_name,regular_b5sc,regular_street_name
119450,EAST 125 STREET,126294,DR M L KING JR BOULEVARD
136270,WEST 125 STREET,126294,DR M L KING JR BOULEVARD
438652,CENTRE DRIVE MALBA,438650,CENTRE DRIVE
438654,CENTRE DRIVE DOUGLASTON,438650,CENTRE DRIVE
449692,HILLSIDE AVENUE ROCKAWAYS,449690,HILLSIDE AVENUE
449694,HILLSIDE AVENUE BELLEROSE,449690,HILLSIDE AVENUE
449697,HILLSIDE AVENUE DOUGLASTON,449690,HILLSIDE AVENUE
400034,7 AVENUE MALBA,405340,7 AVENUE
400269,7 AVENUE ROCKAWAY,405340,7 AVENUE
400270,8 AVENUE MALBA,405390,8 AVENUE
400271,8 AVENUE ROCKAWAY,405390,8 AVENUE
400272,9 AVENUE MALBA,405490,9 AVENUE
400274,9 AVENUE ROCKAWAY,405490,9 AVENUE
400264,VAN WYCK EXPRESSWAY S OZONE PRK,466290,I 678
400268,WHITESTONE EXPRESSWAY FLUSHING,466290,I 678
200948,LELAND AVENUE HARDING PARK,245820,LELAND AVENUE
200952,LELAND AVENUE SOUNDVIEW,245820,LELAND AVENUE
200045,UNDERHILL AVENUE HARDING PARK,270320,UNDERHILL AVENUE
201091,UNDERHILL AVENUE SOUNDVIEW,270320,UNDERHILL AVENUE
200953,BRONX RIVER AVENUE HARDING PARK,215420,BRONX RIVER AVENUE
200954,BRONX RIVER AVENUE SOUNDVIEW,215420,BRONX RIVER AVENUE
