job_number,field,old_value,new_value,reason,edited_date,editor
302325151,classa_prop,1,0,,2/6/26,ML
302325151,hotel_init,0,0,,2/6/26,ML
302325151,hotel_prop,1,0,,2/6/26,ML
302325151,otherb_init,0,0,,2/6/26,ML
302325151,otherb_prop,1,0,,2/6/26,ML
M00563986,classa_init,22,21,,2/6/26,ML
M00563986,hotel_init,22,0,,2/6/26,ML
M00563986,hotel_prop,21,0,,2/6/26,ML
M00563986,otherb_init,22,0,,2/6/26,ML
M00563986,otherb_prop,21,0,,2/6/26,ML
S01327935,hotel_init,0,0,,2/6/26,ML
S01327935,hotel_prop,1,0,,2/6/26,ML
S01327935,otherb_init,0,0,,2/6/26,ML
S01327935,otherb_prop,1,0,,2/6/26,ML
X01304039,classa_init,2,0,,2/6/26,ML
X01304039,classa_prop,2,1,,2/6/26,ML
X01304039,hotel_init,2,0,,2/6/26,ML
X01304039,hotel_prop,2,0,,2/6/26,ML
X01304039,otherb_init,2,0,,2/6/26,ML
X01304039,otherb_prop,2,0,,2/6/26,ML
Q01321512,hotel_init,0,0,,2/6/26,ML
Q01321512,hotel_prop,1,0,,2/6/26,ML
Q01321512,otherb_init,0,0,,2/6/26,ML
Q01321512,otherb_prop,1,0,,2/6/26,ML
Q01313075,classa_init,2,0,,2/6/26,ML
Q01313075,classa_prop,3,1,,2/6/26,ML
Q01313075,hotel_init,2,0,,2/6/26,ML
Q01313075,hotel_prop,3,0,,2/6/26,ML
Q01313075,otherb_init,2,0,,2/6/26,ML
Q01313075,otherb_prop,3,0,,2/6/26,ML
B01195433,hotel_init,0,0,,2/6/26,ML
B01195433,hotel_prop,1,0,,2/6/26,ML
B01195433,otherb_init,0,0,,2/6/26,ML
B01195433,otherb_prop,1,0,,2/6/26,ML
X01299370,hotel_init,2,0,,2/5/26,ML
X01299370,hotel_prop,3,0,,2/5/26,ML
X01299370,otherb_init,2,0,,2/5/26,ML
X01299370,otherb_prop,3,0,,2/5/26,ML
S01327849,classa_init,0,0,,2/5/26,ML
S01327849,hotel_init,0,0,,2/5/26,ML
S01327849,hotel_prop,1,0,,2/5/26,ML
S01327849,otherb_init,0,0,,2/5/26,ML
S01327849,otherb_prop,1,0,,2/5/26,ML
S01323618,classa_init,2,1,,2/5/26,ML
S01323618,hotel_init,2,0,,2/5/26,ML
S01323618,hotel_prop,2,0,,2/5/26,ML
S01323618,otherb_init,2,0,,2/5/26,ML
S01323618,otherb_prop,2,0,,2/5/26,ML
S01317631,classa_init,2,1,,2/5/26,ML
S01317631,classa_prop,2,1,,2/5/26,ML
S01317631,hotel_init,2,0,,2/5/26,ML
S01317631,hotel_prop,2,0,,2/5/26,ML
S01317631,otherb_init,2,0,,2/5/26,ML
S01317631,otherb_prop,2,0,,2/5/26,ML
S01288545,hotel_init,1,0,,2/5/26,ML
S01288545,hotel_prop,2,0,,2/5/26,ML
S01288545,otherb_init,1,0,,2/5/26,ML
S01288545,otherb_prop,2,0,,2/5/26,ML
Q01333252,hotel_init,2,0,,2/5/26,ML
Q01333252,hotel_prop,2,0,,2/5/26,ML
Q01333252,otherb_init,2,0,,2/5/26,ML
Q01333252,otherb_prop,2,0,,2/5/26,ML
Q01330984,classa_init,2,0,,2/5/26,ML
Q01330984,classa_prop,2,0,,2/5/26,ML
Q01330984,hotel_init,2,0,,2/5/26,ML
Q01330984,hotel_prop,2,0,,2/5/26,ML
Q01330984,otherb_init,2,0,,2/5/26,ML
Q01330984,otherb_prop,2,0,,2/5/26,ML
Q01325453,hotel_init,1,0,,2/5/26,ML
Q01325453,hotel_prop,2,0,,2/5/26,ML
Q01325453,otherb_init,1,0,,2/5/26,ML
Q01325453,otherb_prop,2,0,,2/5/26,ML
Q01323956,hotel_init,1,0,,2/5/26,ML
Q01323956,hotel_prop,1,0,,2/5/26,ML
Q01323956,otherb_init,1,0,,2/5/26,ML
Q01323956,otherb_prop,1,0,,2/5/26,ML
Q01317459,classa_prop,1,2,,2/5/26,ML
Q01317459,hotel_init,1,0,,2/5/26,ML
Q01317459,hotel_prop,1,0,,2/5/26,ML
Q01317459,otherb_init,1,0,,2/5/26,ML
Q01317459,otherb_prop,1,0,,2/5/26,ML
Q01316472,hotel_init,1,0,,2/5/26,ML
Q01316472,hotel_prop,1,0,,2/5/26,ML
Q01316472,otherb_init,1,0,,2/5/26,ML
Q01316472,otherb_prop,1,0,,2/5/26,ML
Q01316177,hotel_init,2,0,,2/5/26,ML
Q01316177,hotel_prop,3,0,,2/5/26,ML
Q01316177,otherb_init,2,0,,2/5/26,ML
Q01316177,otherb_prop,3,0,,2/5/26,ML
Q01315283,classa_prop,1,0,,2/5/26,ML
Q01315283,hotel_init,0,0,,2/5/26,ML
Q01315283,hotel_prop,1,0,,2/5/26,ML
Q01315283,otherb_init,0,0,,2/5/26,ML
Q01315283,otherb_prop,1,0,,2/5/26,ML
Q01311624,hotel_init,1,0,,2/5/26,ML
Q01311624,hotel_prop,1,0,,2/5/26,ML
Q01311624,otherb_init,1,0,,2/5/26,ML
Q01311624,otherb_prop,1,0,,2/5/26,ML
Q01306579,hotel_init,1,0,,2/5/26,ML
Q01306579,hotel_prop,1,0,,2/5/26,ML
Q01306579,otherb_init,1,0,,2/5/26,ML
Q01306579,otherb_prop,1,0,,2/5/26,ML
Q01294623,classa_init,0,2,,2/5/26,ML
Q01294623,hotel_init,0,0,,2/5/26,ML
Q01294623,hotel_prop,2,0,,2/5/26,ML
Q01294623,otherb_init,0,0,,2/5/26,ML
Q01294623,otherb_prop,2,0,,2/5/26,ML
B01339880,hotel_init,2,0,,2/5/26,ML
B01339880,hotel_prop,2,0,,2/5/26,ML
B01339880,otherb_init,2,0,,2/5/26,ML
B01339880,otherb_prop,2,0,,2/5/26,ML
B01326277,hotel_init,1,0,,2/5/26,ML
B01326277,hotel_prop,1,0,,2/5/26,ML
B01326277,otherb_init,1,0,,2/5/26,ML
B01326277,otherb_prop,1,0,,2/5/26,ML
B01321624,hotel_init,1,0,,2/5/26,ML
B01321624,hotel_prop,2,0,,2/5/26,ML
B01321624,otherb_init,1,7,,2/5/26,ML
B01321624,otherb_prop,2,0,,2/5/26,ML
B01309658,hotel_init,1,0,,2/5/26,ML
B01309658,hotel_prop,1,0,,2/5/26,ML
B01309658,otherb_init,1,0,,2/5/26,ML
B01309658,otherb_prop,1,0,,2/5/26,ML
B01309437,hotel_init,2,0,,2/5/26,ML
B01309437,hotel_prop,2,0,,2/5/26,ML
B01309437,otherb_init,2,0,,2/5/26,ML
B01309437,otherb_prop,2,0,,2/5/26,ML
B01263176,hotel_init,2,0,,2/5/26,ML
B01263176,hotel_prop,2,0,,2/5/26,ML
B01263176,otherb_init,2,0,,2/5/26,ML
B01263176,otherb_prop,2,0,,2/5/26,ML
420555928,hotel_init,1,0,,2/5/26,ML
420555928,hotel_prop,1,0,,2/5/26,ML
420555928,otherb_init,1,0,,2/5/26,ML
420555928,otherb_prop,1,0,,2/5/26,ML
320466429,hotel_init,2,0,,2/5/26,ML
320466429,hotel_prop,2,0,,2/5/26,ML
320466429,otherb_init,2,0,,2/5/26,ML
320466429,otherb_prop,2,0,,2/5/26,ML
510003112,classa_init,,1,,2/5/26,ML
510003112,hotel_init,,0,,2/5/26,ML
510003112,hotel_prop,1,0,,2/5/26,ML
510003112,otherb_init,,0,,2/5/26,ML
510003112,otherb_prop,1,0,,2/5/26,ML
500900563,classa_init,,1,,2/5/26,ML
500900563,hotel_init,,0,,2/5/26,ML
500900563,hotel_prop,1,0,,2/5/26,ML
500900563,otherb_init,,0,,2/5/26,ML
500900563,otherb_prop,1,0,,2/5/26,ML
500685145,classa_init,,2,,2/5/26,ML
500685145,hotel_init,,0,,2/5/26,ML
500685145,hotel_prop,1,0,,2/5/26,ML
500685145,otherb_init,,0,,2/5/26,ML
500685145,otherb_prop,1,0,,2/5/26,ML
500492111,classa_init,,1,,2/5/26,ML
500492111,hotel_init,,0,,2/5/26,ML
500492111,hotel_prop,2,0,,2/5/26,ML
500492111,otherb_init,,0,,2/5/26,ML
500492111,otherb_prop,2,0,,2/5/26,ML
402170039,classa_init,,1,,2/5/26,ML
402170039,hotel_init,,0,,2/5/26,ML
402170039,hotel_prop,1,0,,2/5/26,ML
402170039,otherb_init,,0,,2/5/26,ML
402170039,otherb_prop,1,0,,2/5/26,ML
401650423,classa_init,,1,,2/5/26,ML
401650423,hotel_init,,0,,2/5/26,ML
401650423,hotel_prop,1,0,,2/5/26,ML
401650423,otherb_init,,0,,2/5/26,ML
401650423,otherb_prop,1,0,,2/5/26,ML
401175090,classa_init,,1,,2/5/26,ML
401175090,hotel_init,,0,,2/5/26,ML
401175090,hotel_prop,1,0,,2/5/26,ML
401175090,otherb_init,,0,,2/5/26,ML
401175090,otherb_prop,1,0,,2/5/26,ML
302026082,classa_init,,1,,2/5/26,ML
302026082,hotel_init,,0,,2/5/26,ML
302026082,hotel_prop,1,0,,2/5/26,ML
302026082,otherb_init,,0,,2/5/26,ML
302026082,otherb_prop,1,0,,2/5/26,ML
301676951,classa_init,,1,,2/5/26,ML
301676951,classa_prop,2,1,,2/5/26,ML
301676951,hotel_init,,0,,2/5/26,ML
301676951,hotel_prop,2,0,,2/5/26,ML
301676951,otherb_init,,0,,2/5/26,ML
301676951,otherb_prop,2,0,,2/5/26,ML
301530859,classa_init,,1,,2/5/26,ML
301530859,hotel_init,,0,,2/5/26,ML
301530859,hotel_prop,2,0,,2/5/26,ML
301530859,otherb_init,,0,,2/5/26,ML
301530859,otherb_prop,2,0,,2/5/26,ML
301269008,classa_init,,2,,2/5/26,ML
301269008,hotel_init,,0,,2/5/26,ML
301269008,hotel_prop,1,0,,2/5/26,ML
301269008,otherb_init,,0,,2/5/26,ML
301269008,otherb_prop,1,0,,2/5/26,ML
200903870,classa_init,,2,,2/5/26,ML
200903870,hotel_init,,0,,2/5/26,ML
200903870,hotel_prop,3,0,,2/5/26,ML
200903870,otherb_init,,0,,2/5/26,ML
200903870,otherb_prop,3,0,,2/5/26,ML
104729652,classa_init,,10,,2/5/26,ML
104729652,hotel_init,,0,,2/5/26,ML
104729652,hotel_prop,11,0,,2/5/26,ML
104729652,otherb_init,,0,,2/5/26,ML
104729652,otherb_prop,11,0,,2/5/26,ML
103334571,classa_init,,0,,2/5/26,ML
103334571,hotel_init,,0,,2/5/26,ML
103334571,hotel_prop,2,0,,2/5/26,ML
103334571,otherb_init,,10,,2/5/26,ML
103334571,otherb_prop,2,0,,2/5/26,ML
103289111,classa_init,,18,,2/5/26,ML
103289111,hotel_init,,0,,2/5/26,ML
103289111,hotel_prop,18,0,,2/5/26,ML
103289111,otherb_init,,0,,2/5/26,ML
103289111,otherb_prop,18,0,,2/5/26,ML
X01306831,hotel_init,177,0,,2/5/26,ML
X01306831,hotel_prop,0,0,,2/5/26,ML
X01306831,otherb_init,177,0,,2/5/26,ML
