field_number,field_name,field_label,field_length,start_index,end_index,justify_and_fill,blank_if_none
TL1,borough,Borough,1,1,1,LJSF,FALSE
TL2,censustract_2020_basic,2000 Census Tract,4,2,5,RJSF,FALSE
TL3,censustract_2020_suffix,2000 Census Tract,2,6,7,RJZF,TRUE
TL4,dynamic_block,Dynamic Block,3,8,10,RJZF,FALSE
TL5,censusblock_2020_basic,2020 Census Block,4,11,14,RJZF,FALSE
TL6,censusblock_2020_suffix,2000 Census Suffix,1,15,15,RJZF,TRUE
TL7,censustract_1990_basic,1990 Census Tract,4,16,19,RJSF,FALSE
TL8,censustract_1990_suffix,1990 Census Tract,2,20,21,RJSF,FALSE
TL9,community_development_eligibility,Community Development Eligibility,1,22,22,RJSF,FALSE
TL10,community_district,Community District,3,23,25,RJSF,FALSE
TL11,minor_census_economic_area,Minor Census Economic Area,4,26,29,RJSF,FALSE
TL12,health_area,Health Area,4,30,33,RJSF,FALSE
TL13,health_center_district,Health Center District,2,34,35,RJSF,FALSE
TL14,police_patrol_borough_command,Police Patrol Borough Command,1,36,36,RJZF,FALSE
TL15,police_precinct,Police Precinct,3,37,39,RJZF,FALSE
TL16,water_block_mapping_suppression_flag,Water Block Mapping Suppression Flag,1,40,40,RJSF,FALSE
TL17,fire_company_type,Fire Company Type,1,41,41,RJSF,TRUE
TL18,fire_company_number,Fire Company Number,3,42,44,RJSF,TRUE
TL19,sanborn_borough_1,Sanborn Borough-1,1,45,45,RJSF,TRUE
TL20,sanborn_volume_1,Sanborn Volume-1,3,46,48,LJSF,TRUE
TL21,sanborn_page_1,Sanborn Page-1,4,49,52,LJSF,TRUE
TL22,sanborn_borough_2,"Sanborn Borough-2, if any",1,53,53,RJSF,TRUE
TL23,sanborn_volume_2,"Sanborn Volume-2, if any",3,54,56,LJSF,TRUE
TL24,sanborn_page_2,"Sanborn Page-2, if any",4,57,60,LJSF,TRUE
TL25,sanborn_borough_3,"Sanborn Borough-3, if any",1,61,61,RJSF,TRUE
TL26,sanborn_volume_3,"Sanborn Volume-3, if any",3,62,64,LJSF,TRUE
TL27,sanborn_page_3,"Sanborn Page-3, if any",4,65,68,LJSF,TRUE
TL28,censustract_2000_basic,2000 Census Tract,4,69,72,RJSF,FALSE
TL29,censustract_2000_suffix,2000 Census Tract,2,73,74,RJZF,TRUE
TL30,censusblock_2000_basic,2000 Census Block,4,75,78,RJSF,FALSE
TL31,censusblock_2000_suffix,2000 Census Suffix,1,79,79,RJZF,TRUE
TL32,assembly_district,AD,3,80,82,RJSF,TRUE
TL33,election_district,ED,4,83,86,RJSF,TRUE
TL34,hurricane_evacuation_zone,EVZ,2,87,88,RJSF,FALSE
TL35,patrol_borough,Patrol_borough,2,89,90,RJSF,TRUE
TL36,police_sector,Police Sector,4,91,94,RJSF,TRUE
TL37,censustract_2010_basic,2010 Census Tract,4,95,98,RJSF,FALSE
TL38,censustract_2010_suffix,2010 Census Tract,2,99,100,RJZF,TRUE
TL39,censusblock_2010_basic,2010 Census Block,4,101,104,RJZF,FALSE
TL40,censusblock_2010_suffix,2010 Census Suffix,1,105,105,RJZF,TRUE
TL41,nta2020,NTA2020,6,106,111,RJSF,TRUE
TL42,cdta,CDTA,4,112,115,RJSF,TRUE
TL43,cwz,CWZ,4,116,119,RJSF,TRUE
TL44,puma2020,PUMA2020,4,120,123,RJSF,TRUE
