fic,field_name,field_label,field_length,start_index,end_index,justify_and_fill,blank_if_none
LDFN1,record_type,Record Type,1,1,1,RJSF,FALSE
,filler_ldfn1,Filler,1,2,2,RJSF,FALSE
LDFN2,action_code,Action Code,1,3,3,RJSF,FALSE
,filler_ldfn2,Filler,7,4,10,RJSF,FALSE
LDFN3,x_coord,X-Coordinate,7,11,17,RJZF,TRUE
LDFN4,y_coord,Y-Coordinate,7,18,24,RJZF,TRUE
,filler_ldfn3,Filler,7,25,31,RJSF,FALSE
LDFN5,nodeid,Node-ID,7,32,38,RJZF,TRUE
,filler_ldfn4,Filler,2,39,40,RJSF,FALSE
LDFN6,destination_x_coord,Destination X-Coordinate,7,41,47,RJZF,TRUE
LDFN7,destination_y_coord,Destination Y-Coordinate,7,48,54,RJZF,TRUE
,filler_ldfn5,Filler,36,55,90,RJSF,FALSE
LDFN8,cumulative_record_number,Cumulative LDF Record Number,10,91,100,RJZF,FALSE
