factype,facsubgrp
Adult Day Care,Other Health Care
Asphalt Plant,Material Supplies
Bridge House,Other Transportation
Camp - All Age,Camps
Camp - Preschool Age,Camps
Camp - School Age,Camps
Cemetery,Cemeteries
Charter School,Charter K-12 Schools
Compost,DSNY Drop-off Facility
Community Park,Parks
Construction and Demolition Processing,Solid Waste Processing
Composting,Solid Waste Processing
Correctional Facility,Detention and Correctional
Courthouse,Courthouses and Judicial
Cruise Terminal,Ports and Ferry Landings
Day Care,Day Care
Detention Center,Detention and Correctional
DOE Universal Pre-K,DOE Universal Pre-Kindergarten
DOE Universal Pre-K - Charter,DOE Universal Pre-Kindergarten
DSNY Garage,Solid Waste Transfer and Carting
Early Education Program,DOE Universal Pre-Kindergarten
Electronics,DSNY Drop-off Facility
Elementary School - Non-public,Non-Public K-12 Schools
Emergency Medical Station,Other Emergency Services
Ferry Landing,Ports and Ferry Landings
Ferry Terminal,Ports and Ferry Landings
Firehouse,Fire Services
Flagship Park,Parks
Food Pantry,Soup Kitchens and Food Pantries
Garden,Gardens
Group Day Care - Age Unspecified,Day Care
High School - Non-public,Non-Public K-12 Schools
Historic House Park,Historical Sites
Home Delivered Meals,Senior Services
Jobs and Service Center,Workforce Development
Leaf,DSNY Drop-off Facility
Lot,City Agency Parking
"Maintenance, Management, and Operations",Other Transportation
Mall,"Streetscapes, Plazas, and Malls"
Manned Transportation Facility,Other Transportation
Medicaid Office,Financial Assistance and Social Services
Middle School - Non-public,Non-Public K-12 Schools
Natural Resource Area,Preserves and Conservation Areas
Nature Area,Preserves and Conservation Areas
Neighborhood Park,Parks
NORC Services,Senior Services
Nursing Home,Residential Health Care
NYCHA Community Center,Community Centers and Community Programs
NYCHA Police Service,Police Services
Other School - Non-public,Non-Public K-12 Schools
Other Solid Waste Processing,Solid Waste Processing
Parkway,"Streetscapes, Plazas, and Malls"
Pedestrian Plaza,"Streetscapes, Plazas, and Malls"
Police Station,Police Services
Port or Marine Terminal,Ports and Ferry Landings
Pre-K Center,DOE Universal Pre-Kindergarten
Privately Owned Public Space,Privately Owned Public Space
Programs for People with Disabilities,Programs for People with Disabilities
Public Library,Public Libraries
Public Parking,Parking Lots and Garages
Recyclables Handling and Recovery,Solid Waste Processing
Regulated Medical Waste,Solid Waste Processing
School Based Child Care - Age Unspecified,Day Care
School Based Child Care - Infants/Toddlers,Day Care
School Based Child Care - Preschool,Day Care
School Bus Depot,Bus Depots and Terminals
Scrap Metal Processing,Solid Waste Processing
Senior Center,Senior Services
Senior Services,Senior Services
SNAP Center,Financial Assistance and Social Services
Soup Kitchen,Soup Kitchens and Food Pantries
Special Waste,DSNY Drop-off Facility
State Historic Place,Historical Sites
Strip,"Streetscapes, Plazas, and Malls"
Textiles,DSNY Drop-off Facility
Tow Truck Company,Parking Lots and Garages
Tracking,"Streetscapes, Plazas, and Malls"
Transfer Station,Solid Waste Transfer and Carting
Triangle/Plaza,"Streetscapes, Plazas, and Malls"
Undeveloped,Undeveloped
Wastewater Treatment Plant,Wastewater and Pollution Control
