the_geom,DOB_Job1,project_id,project_name,project_start_date,project_completion_date,Project_Building_ID,Building_id_current,Building_ID_init,number,street,borough,postcode,bbl,bin,community_board,council_district,census_tract,nta___neighborhood_tabulation_area,latitude,longitude,latitude_internal,longitude_internal,building_completion_date,reporting_construction_type,prevailing_wage_status,Planned Tax Benefit,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,studio_units,_1_br_units,_2_br_units,_3_br_units,_4_br_units,_5_br_units,_6_br_units,unknown_br_units,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,bin_dcp,bbl_dcp,Comment,HNY_Version,dob_job_num_source,DOB_Job1,DOB_Job2,DOB_Job3,HNY_to_Job_relat,Q_Year,DOB_TYPE,units_dev_Data
0101000020E610000020C4004FBB7E52C06931FCD01A584440,320913703,53483,1 Flatbush Avenue,12/29/15,,53483292318,292318,,15,FLATBUSH AVENUE,Brooklyn,11217,3021060026,3424472,BK-02,35,33,BK68,40.68812353,-73.98039161,40.68831837,-73.98018241,,New Construction,Non Prevailing Wage,421a,0,0,32,0,0,0,8,15,9,0,0,0,0,0,32,0,32,157,3424472,3021060026,,3162018,Amanda_Manual,320913703,,,1-to-1,2015,NB,183
0101000020E6100000C1B2CA338C7D52C08A0A0F79CF574440,321055264,66422,10 LEXINGTON AVENUE,10/6/17,,66422973797,973797,,10,LEXINGTON AVENUE,Brooklyn,11238,3019690022,3056374,BK-02,35,231,BK69,40.68643899,-73.96157386,40.68601907,-73.96168227,,New Construction,Non Prevailing Wage,421a,0,0,17,0,0,0,0,17,0,0,0,0,0,0,17,0,17,81,3056374,3019690022,,3162018,BINandBBL,321055264,,,1-to-1,2014,NB,81
0101000020E6100000BA620CCDF17B52C0E8E0B26DC5594440,320622750,61016,10 MONTIETH STREET,12/8/16,,61016972241,972241,,1,MONTIETH STREET,Brooklyn,11206,,,BK-04,34,391,BK78,40.70133754,-73.93663336,,,,New Construction,Non Prevailing Wage,421a,0,0,100,0,0,0,32,54,14,0,0,0,0,0,100,0,100,500,,,,3162018,Amanda_Manual,320622750,,,1-to-1,2015,NB,500
0101000020E610000038FAF3C87A8052C09F7DDDD0B15D4440,121237107,65086,100 BARROW STREET,3/15/17,,65086970563,970563,,100,BARROW STREET,Manhattan,10014,1006050001,1089890,MN-02,,69,MN23,40.73177491,-74.00763128,40.73198901,-74.0074942,,New Construction,Non Prevailing Wage,421a,0,0,0,0,7,0,1,2,4,0,0,0,0,0,7,0,7,33,1089890,1006050001,,3162018,BINandBBL,121237107,,,1-to-1,2015,NB,32
0101000020E61000004DABF8F15D7D52C079CFBB9012574440,320915499,52626,1007 Atlantic Avenue,6/24/15,,52626955431,955431,,1007,ATLANTIC AVENUE,Brooklyn,11238,3020190055,3057842,BK-02,36,227,BK69,40.68001263,-73.95912951,40.68025407,-73.95885896,,New Construction,Non Prevailing Wage,421a,0,0,10,0,0,0,2,3,5,0,0,0,0,0,10,0,10,50,3057842,3020190055,,3162018,BINandBBL,320915499,,,1-to-1,2015,NB,50
0101000020E61000005AC214C4848052C01A7C2FF8135D4440,121190139,59411,102 CHARLTON STREET,6/26/17,,59411968997,968997,,102,CHARLTON STREET,Manhattan,10014,1005970050,1010371,MN-02,3,37,MN24,40.72739973,-74.00816836,40.72717192,-74.00810339,,New Construction,Non Prevailing Wage,421a,0,7,9,0,0,0,10,5,1,0,0,0,0,0,16,0,16,67,1010371,1005970050,Unable to match perfectly,3162018,Amanda_Manual,121190139,,,1-to-1,2017,NB,37
0101000020E61000003C00FB4B3F7C52C09C502556085A4440,320449341,65088,103 VARET MANAGEMENT LLC,6/16/16,6/16/16,65088958013,958013,,103,VARET STREET,Brooklyn,11206,3031060028,3251829,BK-01,34,491,BK90,40.70317901,-73.9413058,40.70337941,-73.94136333,6/16/16,New Construction,Non Prevailing Wage,421a,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,8,3251829,3031060028,,3162018,BINandBBL,320449341,,,1-to-1,2013,NB,8
0101000020E61000002412015E517B52C0C4755280A46A4440,220323102,65089,1035 ANDERSON AVENUE,1/13/16,,65089967660,967660,,1035,ANDERSON AVENUE,Bronx,10452,2025080031,2003143,BX-04,8,189,BX26,40.83322728,-73.92646535,40.83314518,-73.92684126,,New Construction,Non Prevailing Wage,421a,0,0,11,0,0,0,0,5,6,0,0,0,0,0,11,0,11,53,2003143,2025080031,,3162018,BINandBBL,220323102,,,1-to-1,2013,NB,53
0101000020E61000001FBDE13E727D52C04C2AC72255574440,320909736,60213,1043 FULTON STREET (BPL OFFSITE 1 OF 2),6/15/17,,60213977267,977267,,1043,FULTON STREET,Brooklyn,11238,3019920005,3057245,BK-02,35,227,BK69,40.68207981,-73.96016302,40.68228564,-73.960098,,New Construction,Non Prevailing Wage,Article XI,0,0,15,0,22,0,18,8,9,2,0,0,0,0,37,0,37,37,3057245,3019920005,,3162018,BINandBBL,320909736,,,1-to-1,2017,NB,37
0101000020E61000001BEF33D3E27C52C03B525CD9AE5B4440,320590712,50187,11 Jackson Street,9/16/14,3/9/17,50187948151,948151,,11,JACKSON STREET,Brooklyn,11211,3027410047,3068246,BK-01,33,515,BK73,40.71600184,-73.95158258,40.71627347,-73.9513443,3/9/17,New Construction,Non Prevailing Wage,421a,0,0,10,0,0,0,3,5,2,0,0,0,0,0,10,0,10,44,3068246,3027410047,,3162018,BINandBBL,320590712,,,1-to-1,2014,NB,44
